territory,territory_iso3,mrgid,region,region_specific,shp_to_use,fao_country_profile,country_profile,fao_memberships,fisheries_subsidies,treaties_conventions,internal_fishing_access_agreements
Madagascar,MDG,8348,Africa,East and South African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=MDG&subj=6,http://www.seaaroundus.org/data/#/country/450,,http://www.seaaroundus.org/data/#/subsidy/125,http://www.fishbase.org/Country/CountryTreatyList.php?Country=450,http://www.seaaroundus.org/data/#/eez/450/internal-fishing-access/
Malawi,MWI,,Africa,East and South African group,180,,,,,,
Mali,MLI,,Africa,West African group,180,,,,,,
Marshall Islands,MHL,8318,Pacific,Pacific group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=MHL&subj=6,http://www.seaaroundus.org/data/#/country/584,,http://www.seaaroundus.org/data/#/subsidy/130,http://www.fishbase.org/Country/CountryTreatyList.php?Country=584,http://www.seaaroundus.org/data/#/eez/584/internal-fishing-access/
Mauritania,MRT,8369,Africa,West African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=MRT&subj=6,http://www.seaaroundus.org/data/#/country/478,,http://www.seaaroundus.org/data/#/subsidy/132,http://www.fishbase.org/Country/CountryTreatyList.php?Country=478,http://www.seaaroundus.org/data/#/eez/478/internal-fishing-access/
Mauritius,MUS,8343,Africa,East and South African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=MUS&subj=6,http://www.seaaroundus.org/data/#/country/480,,http://www.seaaroundus.org/data/#/subsidy/133,http://www.fishbase.org/Country/CountryTreatyList.php?Country=480,http://www.seaaroundus.org/data/#/eez/480/internal-fishing-access/
Micronesia,FSM,8316,Pacific,Pacific group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=FSM&subj=6,http://www.seaaroundus.org/data/#/country/583,,http://www.seaaroundus.org/data/#/subsidy/136,http://www.fishbase.org/Country/CountryTreatyList.php?Country=583,http://www.seaaroundus.org/data/#/eez/583/internal-fishing-access/
Mozambique,MOZ,8347,Africa,South African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=MOZ&subj=6,http://www.seaaroundus.org/data/#/country/508,,http://www.seaaroundus.org/data/#/subsidy/142,http://www.fishbase.org/Country/CountryTreatyList.php?Country=508,http://www.seaaroundus.org/data/#/eez/508/internal-fishing-access/
Namibia,NAM,8395,Africa,South African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=NAM&subj=6,http://www.seaaroundus.org/data/#/country/516,,http://www.seaaroundus.org/data/#/subsidy/145,http://www.fishbase.org/Country/CountryTreatyList.php?Country=516,http://www.seaaroundus.org/data/#/eez/516/internal-fishing-access/
Nauru,NRU,8317,Pacific,Pacific group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=NRU&subj=6,http://www.seaaroundus.org/data/#/country/520,,http://www.seaaroundus.org/data/#/subsidy/146,http://www.fishbase.org/Country/CountryTreatyList.php?Country=520,http://www.seaaroundus.org/data/#/eez/520/internal-fishing-access/
Niger,NER,,Africa,West African group,180,,,,,,
Nigeria,NGA,8474,Africa,West African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=NGA&subj=6,http://www.seaaroundus.org/data/#/country/566,,http://www.seaaroundus.org/data/#/subsidy/153,http://www.fishbase.org/Country/CountryTreatyList.php?Country=566,http://www.seaaroundus.org/data/#/eez/566/internal-fishing-access/
Niue,NIU,8447,Pacific,Pacific group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=NZL&subj=6,http://www.seaaroundus.org/data/#/country/570,,http://www.seaaroundus.org/data/#/subsidy/154,http://www.fishbase.org/Country/CountryTreatyList.php?Country=570,http://www.seaaroundus.org/data/#/eez/570/internal-fishing-access/
Palau,PLW,8315,Pacific,Pacific group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=PLW&subj=6,http://www.seaaroundus.org/data/#/country/585,,http://www.seaaroundus.org/data/#/subsidy/160,http://www.fishbase.org/Country/CountryTreatyList.php?Country=585,http://www.seaaroundus.org/data/#/eez/585/internal-fishing-access/
Rwanda,RWA,,Africa,East African group,180,,,,,,
Samoa,WSM,8445,Pacific,Pacific group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=WSM&subj=6,http://www.seaaroundus.org/data/#/country/882,,http://www.seaaroundus.org/data/#/subsidy/180,http://www.fishbase.org/Country/CountryTreatyList.php?Country=882,http://www.seaaroundus.org/data/#/eez/882/internal-fishing-access/
São Tomé and Príncipe,STP,8397,Africa,Central African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=STP&subj=6,http://www.seaaroundus.org/data/#/country/678,,http://www.seaaroundus.org/data/#/subsidy/181,http://www.fishbase.org/Country/CountryTreatyList.php?Country=678,http://www.seaaroundus.org/data/#/eez/678/internal-fishing-access/
Senegal,SEN,8371,Africa,West African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=SEN&subj=6,http://www.seaaroundus.org/data/#/country/686,,http://www.seaaroundus.org/data/#/subsidy/183,http://www.fishbase.org/Country/CountryTreatyList.php?Country=686,http://www.seaaroundus.org/data/#/eez/686/internal-fishing-access/
