geoname,eez_id,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs,mark
Sao Tome and Principe Exclusive Economic Zone,8397,18,66.79838622308375,1663.363,33267.26,2681.3004061869556,53626.008123739106,3996.20222222219,3907003.871032332,3379693.2408214333,96358.6341490893,joint
Canadian Exclusive Economic Zone,8493,152,32.176339536944056,513.8246104265667,82211.93766825067,714.5159093947284,114322.54550315655,3981.4352777777785,8117332.7034255145,3997040.3128100215,332420.7011012905,none
Montenegrin Exclusive economic Zone,5691,27,20.09514770539656,92.46711488379434,2866.480561397624,263.8622018475688,8179.7282572746335,3665.6055555555563,919569.5628107457,508448.1631693894,51038.68983890837,none
Kerguelen Exclusive Economic Zone,8387,4,55.37406068521633,1294.2857142857142,9060,1229.3776350108735,8605.643445076115,3311.778333333211,4004914.135216499,725025.0028212918,92986.12628324631,multi-eez & overlapping
Togolese Exclusive Economic Zone,8392,15,48.26625091544838,519.5486678465184,7793.230017697775,1010.1281454404185,15151.922181606278,3192.257222222222,1055490.3131839305,34803.96942692043,1645.9714463886207,none
Singaporean Exclusive Economic Zone,8485,82,41.21519332775356,633.4920272418507,51946.34623383175,811.9730687005248,66581.79163344303,2828.526111111111,764171.1412907547,3462452.259540294,20675.9956434554,none
Surinamese Exclusive Economic Zone,8461,8,40.213692240172726,432.64673175805456,4759.1140493386,847.1814647785,9318.9961125635,2729.1677777777786,2090026.1908303427,2335318.812743727,252538.98420323088,none
United States Exclusive Economic Zone (Alaska),8463,52,61.702755110285395,2162.1279963462457,129727.67978077474,2299.755324392871,137985.31946357226,2462.6444444444455,1918894.8488873704,900558.8963041254,214701.07465745957,multi-eez
Albanian Exclusive Economic Zone,5670,30,20.99349842889894,80.80895190829675,2666.6954129737924,249.46150873567157,8232.229788277162,2177.939722222222,579323.9886487253,484002.92378998076,77633.8629524866,none
Malaysian Exclusive Economic Zone,8483,34,31.440899962475804,484.5817189282169,17929.523600344026,537.2403780700819,19877.89398859303,2090.1758333333332,524644.1044514836,1758183.2430814407,19782.550931802,none
Uruguayan Exclusive Economic Zone,8467,109,51.55912475597508,923.6062586503961,138540.93879755941,1209.4020802058806,181410.3120308821,1990.835555555557,3003807.9759857543,2184494.338731012,204615.91175666804,joint
Costa Rican Exclusive Economic Zone,8424,14,50.0916451022527,851.6356286524469,14477.805687091597,1837.065431857939,31230.112341584965,1952.908055555548,4628429.828594807,7462766.791036264,14876.47929111029,none
Venezuelan Exclusive Economic Zone,8433,13,24.536602678841668,124.94412790794166,1749.2177907111834,373.4039890112845,5227.655846157983,1895.4824999999998,475509.2928833438,20276.00730747724,997.3585906827974,overlapping
Beninese Exclusive Economic Zone,8393,16,51.079258623052496,580.9389196939562,9295.0227151033,1206.7948928895792,19308.718286233267,1725.0847222222242,2234200.354231309,1362049.6376602312,1510.7396774366807,none
Sri Lankan Exclusive Economic Zone,8346,38,36.827141390808926,286.42142059519375,14034.649609164493,783.4484766121815,38388.975353996895,1594.3244444444445,797186.0487907676,651180.3999416152,85475.54466026189,none
Kiribati Exclusive Economic Zone (Line Islands),8441,39,54.86612480128547,910.244496751903,36409.77987007612,1561.137751644639,62445.51006578556,1565.6483333333344,4915506.831810551,6147269.26374358,216540.1815687338,multi-eez
Georgian Exclusive Economic Zone,5678,52,36.28456678311566,286.34394348284934,16607.94872200526,485.8230832532567,28177.73882868889,1542.708611111111,869257.9256301736,1052820.5147113574,168203.71853162823,none
Saudi Arabian Exclusive Economic Zone,8356,20,19.640787204376668,77.95712929432416,1559.1425858864834,309.2125229683875,6184.25045936775,1401.7755555555555,465003.3680493594,35016.629710893874,4654.449582209125,none
Maltese Exclusive Economic Zone,5685,33,30.13399015162343,196.34408317005534,10406.236408012934,538.3116166340559,28530.515681604964,1394.095,653022.6828230649,78763419.65400676,332464.993632816,none
Colombian Exclusive Economic Zone,8426,8,58.78121212121818,894.747800636326,9842.225806999586,1853.2287029084919,20385.51573199341,1250.1105555555537,1639902.0027414842,2680754.55613296,71193.43656568481,none
Overlapping claim Liancourt Rocks: Japan / South Korea,48955,31,42.72062280493,750.845949213558,46552.448851240595,836.8996380586822,51887.77755963829,1245.1838888888888,839055.4720632791,886136.4268511932,129170.37998848512,is_overlapping
Overlapping claim Liancourt Rocks: Japan / South Korea,48955,31,42.72062280493,750.845949213558,46552.448851240595,836.8996380586822,51887.77755963829,1245.1838888888888,839055.4720632791,886136.4268511932,129170.37998848512,is_overlapping
Italian Exclusive Economic Zone,5682,24,31.308529169484945,339.8568727787278,10195.706183361834,667.4321065896341,20022.963197689023,1100.5825000000002,512490.05703636596,75130964.62786905,669756.061422012,none
Indonesian Exclusive Economic Zone,8492,41,37.48901065556253,2447.622092037157,105247.74995759776,686.0969569029004,29502.169146824715,1038.3236111111114,621708.8942258251,75535.6621241977,3701.2491084425683,none
Crozet Islands Exclusive Economic Zone,8385,4,55.02584437436428,1156.6,5783,1236.283949203363,6181.419746016814,1006.0313888889098,1278754.0641693077,232195.24351732823,29673.211700701002,multi-eez & overlapping
Philippines Exclusive Economic Zone,8322,32,33.175084866536594,406.26228998504683,15031.704729446734,794.5115658963782,29396.927938165994,992.8769444444445,711894.9179881143,305298.6432246094,33697.89313894098,none
Portuguese Exclusive Economic Zone (Madeira),8363,5,74.35803109445,3128.2844410898,18769.7066465388,3166.27171972425,18997.6303183455,890.2780555555553,685944.8746651356,9821.113756741857,295.6407364459148,multi-eez
Joint regime area Argentina / Uruguay,48961,31,56.525498498227,1088.6767,87094.136,1315.625381868637,105250.03054949097,850.5155555555572,2772847.779341379,1508856.5106269906,109985.74698948227,is_joint
Joint regime area Argentina / Uruguay,48961,31,56.525498498227,1088.6767,87094.136,1315.625381868637,105250.03054949097,850.5155555555572,2772847.779341379,1508856.5106269906,109985.74698948227,is_joint
