flag_iso3,flag_is_EU,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs
GNB,FALSE,9,72.04928169845277,2563.3047628882946,46139.4857319893,2967.0930902008295,53407.67562361493,515.933611111112,1100532.1469049887,0,0
NZL,FALSE,2,54.42992167677693,813.0063325212077,10569.082322775701,1787.5366004314922,23237.9758056094,479.3422222222221,974028.2918836289,119864.5526097198,0
AIA,FALSE,2,39.09890975736667,591.5975094138555,1774.7925282415665,1194.261644774089,3582.784934322267,425.948333333333,703955.4117887643,79689.89680294025,20217.539864089737
CMR,FALSE,1,44.31917536582,403,2015,690.61761001287,3453.0880500643502,377.2330555555554,260523.79124562987,74503.88332222134,0
MRT,FALSE,9,41.218621935745794,396.37658277380103,6342.0253243808165,770.5627271338387,12329.00363414142,348.09694444444426,335786.5217176694,697512.1111484643,11335.164060801
GEO,FALSE,3,82.61964175608571,3931.722919219143,27522.060434534,4267.587920224336,29873.11544157035,327.5366666666667,720170.2645904439,1115845.5657930665,462463.8814962498
SRB,FALSE,1,21.242310849,61.7769838026,61.7769838026,188.5668077862,188.5668077862,309.58583333333337,58377.61232749722,0,0
JOR,FALSE,1,31.1723376536,345.5777675217,691.1555350434,437.9292974693,875.8585949386,298.94027777777785,130914.70583249965,41618.6691829,0
YEM,FALSE,1,16.9748889954,120.5958299255,241.191659851,183.5292784509,367.0585569018,280.53972222222217,51487.25279626035,99850956.17780599,0
EGY,FALSE,2,25.96784507726,266.40582090934,1332.0291045467,366.57011251668,1832.8505625834,182.60666666666665,76017.25704273918,47529514.37460421,0
QAT,FALSE,11,18.895948252473726,66.56828421133622,931.9559789587072,218.59018366319236,3060.262571284693,182.28083333333333,37711.32941384539,2913.617282280953,1165.5783902330725
FLK,FALSE,7,67.90442900701099,1786.076923076923,23219,2142.0797462687715,27847.036701494028,163.85277777777787,341226.26379714644,38627.852408082705,9799.989424704241
PRK,FALSE,1,16.6699499227,42.7826379226,42.7826379226,262.3550687676,262.3550687676,159.90749999999997,41952.54315895499,975586.68,0
NRU,FALSE,1,75.6771733443,2224.3915002511,4448.7830005022,3294.4787575898,6588.9575151796,130.5736111111113,430171.9881073476,51353.002675963,0
SVK,TRUE,2,28.56255657625,116.88425847299999,701.3055508379999,476.85907148959996,2861.1544289375997,129.26083333333335,62865.39781868386,0,0
