flag_iso3,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs
ATF,2,63.144851000866666,1226.3403665205667,3679.0210995617,1570.2372735499666,4710.7118206499,343.17888888888893,354719.5182611968,64216.72815342693,8234.920544861345
CXR,1,25.7961758799,295.7311429766,591.4622859532,410.3454002543,820.6908005086,330.23166666666697,135509.04543497803,21928.659493344727,8245.057111383698
SLB,3,69.4609883599611,1448.2367774900777,8689.420664940466,2845.5960944214166,17073.5765665285,257.64722222222224,729874.4936352354,1643341.024517419,0
NRU,1,75.6771733443,2224.3915002511,4448.7830005022,3294.4787575898,6588.9575151796,199.19194444444497,656233.6296552315,78339.75310203701,0
IRN,2,82.35535714285001,1260.0977437824374,2520.195487564875,1525.934053525365,3051.86810705073,165.77388888888882,176883.5700969217,282596.03032191156,0
PER,3,44.74879334408333,445.26446888606665,1335.7934066582,1170.0148960396668,3510.044688119,156.38972222222216,210596.69102711594,767181.959127605,11040.239607673484
COM,2,51.70357841005,393.92508172297505,787.8501634459501,1141.853155077375,2283.70631015475,137.82055555555556,121435.40689130378,245410.41236491213,0
CRI,1,44.0791403191,114.3018737777,114.3018737777,2013.7678803206,2013.7678803206,131.95305555555552,265722.8249879374,2131619.8665340426,0
GTM,3,78.42470997599555,2131.4,10657,3483.6837341201276,17418.41867060064,125.76638888888893,437810.50553208013,399606.80161988275,0
BEL,1,21.525460888166666,15,15,392.9457589256,392.9457589256,114.93083333333335,45161.58352811832,13321.177201549686,1360.436119639597
NCL,5,29.049419089931003,108.33333333333333,650,503.2917900257903,3019.750740154742,105.60583333333335,50902.270120909714,9215.103975022343,1181.7115450920912
KNA,1,23.3355215651,65.1805568564,65.1805568564,368.9639307752,368.9639307752,86.37527777777777,31869.36201068867,0,0
MOZ,2,48.321508751124995,541.483527074475,1082.96705414895,1161.1499957421001,2322.2999914842003,80.60555555555555,74789.40249983754,27411.06599416533,4.45310952680603
THA,1,65.03,1178,1178,2446.2457746073164,2446.2457746073164,76.63166666666665,187459.8907844496,72618405.59397283,279609.24315263156
KEN,1,35.9488142335,457.1985583855,1371.5956751565,549.9434236251,1649.8302708753,72.47055555555559,39854.70543423526,1982502.6804212169,0
BES,1,39.165900046450005,471.79651302269997,471.79651302269997,948.40164222975,948.40164222975,33.49194444444446,31763.815112578675,9713.573373519896,977.3270499635951
IND,2,29.4470186669,90.572092187425,181.14418437485,328.2041452525,656.408290505,27.87361111111111,9248.997134717127,32444.622554272326,103.86680602245389
POL,1,90.3148679357,4392.5230730493,4392.5230730493,3938.1870681638,3938.1870681638,25.10527777777778,98869.28028710447,94413.88506545921,6341.048782677501
AGO,1,32.792702185850004,325.29781248995005,325.29781248995005,382.4657440272,382.4657440272,12.551111111111123,4800.370049479173,2769.0800841013947,41.49641316320116
TUV,2,64.85205031995,1740.1130244404,6960.4520977616,2237.1457418653,8948.5829674612,4.251944444444444,10430.835882114363,59028.672583619424,0
MRT,1,41.32481576165556,201,201,793.4169536939222,793.4169536939222,2.5511111111111107,2024.0948063124945,4204.548277559343,68.32747957483025
PHL,1,71.79,1100,1100,2665.09,2665.09,1.1391666666666667,3035.981691666667,17040.430723501104,0
ITA,1,80.900625,2137,2137,3690,3690,0.5641666666666667,2081.775,482.6846344255923,200.97227515599184
