mrgid,pol_type,geoname,iso_sov,x_cen,y_cen,iso_ter,name_ter,name_sov,region
8412,200NM,Anguilla Exclusive Economic Zone,GBR,-62.54329,20.01803,AIA,Anguilla,United Kingdom,Latin America & Caribbean
8414,200NM,Antigua and Barbuda Exclusive Economic Zone,ATG,-60.57064,18.73279,ATG,Antigua & Barbuda,Antigua & Barbuda,Latin America & Caribbean
48961,Joint regime,Joint regime area Argentina / Uruguay,ARG,-55.16096,-36.25493,ARG,Argentina,Argentina,Latin America & Caribbean
8466,200NM,Argentinean Exclusive Economic Zone,ARG,-62.1595,-47.08999,ARG,Argentina,Argentina,Latin America & Caribbean
26519,200NM,Aruban Exclusive Economic Zone,NLD,-69.67341,13.74138,ABW,Aruba,Netherlands,Latin America & Caribbean
48965,Overlapping claim,Overlapping claim: Venezuela / Aruba / Dominican Republic,NLD,-69.65326,15.30381,ABW,Aruba,Netherlands,Latin America & Caribbean
8404,200NM,Bahamas Exclusive Economic Zone,BHS,-75.57785,25.11716,BHS,Bahamas,Bahamas,Latin America & Caribbean
8418,200NM,Barbados Exclusive Economic Zone,BRB,-57.99356,13.32288,BRB,Barbados,Barbados,Latin America & Caribbean
48969,Joint regime,Joint regime area Guyana / Barbados,BRB,-57.13214,10.68079,BRB,Barbados,Barbados,Latin America & Caribbean
8457,200NM,Belizean Exclusive Economic Zone,BLZ,-87.5932,17.18774,BLZ,Belize,Belize,Latin America & Caribbean
8381,200NM,Brazilian Exclusive Economic Zone (Trindade),BRA,-29.09644,-20.50277,BRA,Brazil,Brazil,Latin America & Caribbean
8464,200NM,Brazilian Exclusive Economic Zone,BRA,-39.44423,-11.09799,BRA,Brazil,Brazil,Latin America & Caribbean
8411,200NM,British Virgin Islands Exclusive Economic Zone,GBR,-64.50497,20.38988,VGB,British Virgin Islands,United Kingdom,Latin America & Caribbean
26520,200NM,Bonaire Exclusive Economic Zone,NLD,-68.36978,12.7112,BES,Caribbean Netherlands,Netherlands,Latin America & Caribbean
26518,200NM,Saba Exclusive Economic Zone,NLD,-63.60185,17.37739,BES,Caribbean Netherlands,Netherlands,Latin America & Caribbean
26526,200NM,Sint-Eustatius Exclusive Economic Zone,NLD,-63.12987,17.3389,BES,Caribbean Netherlands,Netherlands,Latin America & Caribbean
