RegionName,Country,Category,Type,Constant 2018 USD,Data Type
Africa,Senegal,Ambiguous,Vessel buyback,,Modeled
Africa,Senegal,Ambiguous,Rural fisher communities,2503058.80,Modeled
Africa,Seychelles,Beneficial,Fisheries mangt.,17776804.84,Reported
Africa,Seychelles,Beneficial,Fishery R&D,420538.30,Reported
Africa,Seychelles,Beneficial,MPAs,1909233.51,Modeled
Africa,Seychelles,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Seychelles,Capacity-enhancing,Fisheries dev. projects,21325370.58,Reported
Africa,Seychelles,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Seychelles,Capacity-enhancing,Markt. & storage infrast.,7976323.23,Reported
Africa,Seychelles,Capacity-enhancing,Tax exemption,,Modeled
Africa,Seychelles,Capacity-enhancing,Fishing access,363635.69,Modeled
Africa,Seychelles,Capacity-enhancing,Fuel subsidies,500018.76,Modeled
Africa,Seychelles,Ambiguous,Fisher assistance,,Modeled
Africa,Seychelles,Ambiguous,Vessel buyback,,Modeled
Africa,Seychelles,Ambiguous,Rural fisher communities,179001.73,Modeled
Africa,Sierra Leone,Beneficial,Fisheries mangt.,17661300.78,Modeled
Africa,Sierra Leone,Beneficial,Fishery R&D,,Modeled
Africa,Sierra Leone,Beneficial,MPAs,,Modeled
Africa,Sierra Leone,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Sierra Leone,Capacity-enhancing,Fisheries dev. projects,25757903.76,Modeled
Africa,Sierra Leone,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Sierra Leone,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Africa,Sierra Leone,Capacity-enhancing,Tax exemption,3512030.89,Modeled
Africa,Sierra Leone,Capacity-enhancing,Fishing access,4326075.17,Modeled
Africa,Sierra Leone,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Sierra Leone,Ambiguous,Fisher assistance,,Modeled
Africa,Sierra Leone,Ambiguous,Vessel buyback,,Modeled
Africa,Sierra Leone,Ambiguous,Rural fisher communities,798613.30,Modeled
Africa,Somalia,Beneficial,Fisheries mangt.,23013211.69,Modeled
Africa,Somalia,Beneficial,Fishery R&D,,Modeled
Africa,Somalia,Beneficial,MPAs,,Modeled
Africa,Somalia,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Somalia,Capacity-enhancing,Fisheries dev. projects,3868913.76,Modeled
Africa,Somalia,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Somalia,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Africa,Somalia,Capacity-enhancing,Tax exemption,,Modeled
Africa,Somalia,Capacity-enhancing,Fishing access,24478.04,Modeled
Africa,Somalia,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Somalia,Ambiguous,Fisher assistance,,Modeled
Africa,Somalia,Ambiguous,Vessel buyback,,Modeled
Africa,Somalia,Ambiguous,Rural fisher communities,1040617.40,Modeled
Africa,South Africa,Beneficial,Fisheries mangt.,35118651.21,Reported
Africa,South Africa,Beneficial,Fishery R&D,5411588.36,Reported
Africa,South Africa,Beneficial,MPAs,5841031.83,Modeled
Africa,South Africa,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,South Africa,Capacity-enhancing,Fisheries dev. projects,49614708.62,Modeled
Africa,South Africa,Capacity-enhancing,Fishing port develop.,41743.11,Reported
Africa,South Africa,Capacity-enhancing,Markt. & storage infrast.,3579321.24,Reported
Africa,South Africa,Capacity-enhancing,Tax exemption,,Modeled
Africa,South Africa,Capacity-enhancing,Fishing access,623506.25,Modeled
Africa,South Africa,Capacity-enhancing,Fuel subsidies,25388558.57,Reported
Africa,South Africa,Ambiguous,Fisher assistance,,Modeled
Africa,South Africa,Ambiguous,Vessel buyback,,Modeled
Africa,South Africa,Ambiguous,Rural fisher communities,,Modeled
Africa,Sudan,Beneficial,Fisheries mangt.,374596.11,Modeled
Africa,Sudan,Beneficial,Fishery R&D,31414.12,Modeled
Africa,Sudan,Beneficial,MPAs,543131.34,Modeled
Africa,Sudan,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Sudan,Capacity-enhancing,Fisheries dev. projects,704478.40,Modeled
Africa,Sudan,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Sudan,Capacity-enhancing,Markt. & storage infrast.,932837.86,Modeled
Africa,Sudan,Capacity-enhancing,Tax exemption,96054.01,Modeled
Africa,Sudan,Capacity-enhancing,Fishing access,171150.29,Modeled
Africa,Sudan,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Sudan,Ambiguous,Fisher assistance,,Modeled
Africa,Sudan,Ambiguous,Vessel buyback,,Modeled
Africa,Sudan,Ambiguous,Rural fisher communities,16938.58,Modeled
Africa,Tanzania,Beneficial,Fisheries mangt.,15982519.01,Modeled
Africa,Tanzania,Beneficial,Fishery R&D,1340314.75,Modeled
Africa,Tanzania,Beneficial,MPAs,3552888.17,Modeled
Africa,Tanzania,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Tanzania,Capacity-enhancing,Fisheries dev. projects,18983412.44,Modeled
Africa,Tanzania,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Tanzania,Capacity-enhancing,Markt. & storage infrast.,25136960.53,Modeled
Africa,Tanzania,Capacity-enhancing,Tax exemption,2588344.59,Modeled
Africa,Tanzania,Capacity-enhancing,Fishing access,123530.44,Modeled
Africa,Tanzania,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Tanzania,Ambiguous,Fisher assistance,,Modeled
Africa,Tanzania,Ambiguous,Vessel buyback,,Modeled
Africa,Tanzania,Ambiguous,Rural fisher communities,,Modeled
Africa,Togo,Beneficial,Fisheries mangt.,3601832.89,Modeled
Africa,Togo,Beneficial,Fishery R&D,,Modeled
Africa,Togo,Beneficial,MPAs,,Modeled
Africa,Togo,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Togo,Capacity-enhancing,Fisheries dev. projects,1571951.85,Modeled
Africa,Togo,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Togo,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Africa,Togo,Capacity-enhancing,Tax exemption,214332.02,Modeled
Africa,Togo,Capacity-enhancing,Fishing access,160528.82,Modeled
Africa,Togo,Capacity-enhancing,Fuel subsidies,150113.63,Modeled
Africa,Togo,Ambiguous,Fisher assistance,,Modeled
Africa,Togo,Ambiguous,Vessel buyback,,Modeled
Africa,Togo,Ambiguous,Rural fisher communities,162868.62,Modeled
Africa,Tunisia,Beneficial,Fisheries mangt.,19384161.66,Modeled
Africa,Tunisia,Beneficial,Fishery R&D,,Modeled
Africa,Tunisia,Beneficial,MPAs,1361672.09,Modeled
Africa,Tunisia,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Tunisia,Capacity-enhancing,Fisheries dev. projects,7527263.28,Modeled
Africa,Tunisia,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Tunisia,Capacity-enhancing,Markt. & storage infrast.,6004080.60,Modeled
Africa,Tunisia,Capacity-enhancing,Tax exemption,8975810.67,Modeled
Africa,Tunisia,Capacity-enhancing,Fishing access,184753.04,Modeled
Africa,Tunisia,Capacity-enhancing,Fuel subsidies,64128443.79,Modeled
Africa,Tunisia,Ambiguous,Fisher assistance,,Modeled
Africa,Tunisia,Ambiguous,Vessel buyback,,Modeled
Africa,Tunisia,Ambiguous,Rural fisher communities,,Modeled
Asia,Bahrain,Beneficial,Fisheries mangt.,11004732.26,Modeled
Asia,Bahrain,Beneficial,Fishery R&D,2642108.96,Modeled
Asia,Bahrain,Beneficial,MPAs,,Modeled
Asia,Bahrain,Capacity-enhancing,Boat constsruct. & renov.,1873299.34,Modeled
Asia,Bahrain,Capacity-enhancing,Fisheries dev. projects,,Modeled
Asia,Bahrain,Capacity-enhancing,Fishing port develop.,3007132.47,Modeled
Asia,Bahrain,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Asia,Bahrain,Capacity-enhancing,Tax exemption,5756514.09,Modeled
Asia,Bahrain,Capacity-enhancing,Fishing access,989996.01,Modeled
Asia,Bahrain,Capacity-enhancing,Fuel subsidies,,Modeled
Asia,Bahrain,Ambiguous,Fisher assistance,1376035.86,Modeled
Asia,Bahrain,Ambiguous,Vessel buyback,,Modeled
Asia,Bahrain,Ambiguous,Rural fisher communities,,Modeled
Asia,Bangladesh,Beneficial,Fisheries mangt.,9047546.93,Reported
Asia,Bangladesh,Beneficial,Fishery R&D,7900501.95,Reported
Asia,Bangladesh,Beneficial,MPAs,3718424.56,Modeled
Asia,Bangladesh,Capacity-enhancing,Boat constsruct. & renov.,4561864.82,Modeled
Asia,Bangladesh,Capacity-enhancing,Fisheries dev. projects,55960087.80,Modeled
Asia,Bangladesh,Capacity-enhancing,Fishing port develop.,,Modeled
Asia,Bangladesh,Capacity-enhancing,Markt. & storage infrast.,6598368.87,Reported
Asia,Bangladesh,Capacity-enhancing,Tax exemption,,Modeled
Asia,Bangladesh,Capacity-enhancing,Fishing access,,Modeled
Asia,Bangladesh,Capacity-enhancing,Fuel subsidies,43860049.09,Modeled
Asia,Bangladesh,Ambiguous,Fisher assistance,47308800.00,Reported
Asia,Bangladesh,Ambiguous,Vessel buyback,,Modeled
Asia,Bangladesh,Ambiguous,Rural fisher communities,2291575.19,Modeled
Asia,Brunei Darsm,Beneficial,Fisheries mangt.,2680569.51,Modeled
Asia,Brunei Darsm,Beneficial,Fishery R&D,643573.74,Modeled
Asia,Brunei Darsm,Beneficial,MPAs,291888.15,Modeled
Asia,Brunei Darsm,Capacity-enhancing,Boat constsruct. & renov.,375846.99,Modeled
Asia,Brunei Darsm,Capacity-enhancing,Fisheries dev. projects,,Modeled
Asia,Brunei Darsm,Capacity-enhancing,Fishing port develop.,,Modeled
Asia,Brunei Darsm,Capacity-enhancing,Markt. & storage infrast.,772567.25,Modeled
Asia,Brunei Darsm,Capacity-enhancing,Tax exemption,,Modeled
Asia,Brunei Darsm,Capacity-enhancing,Fishing access,,Modeled
Asia,Brunei Darsm,Capacity-enhancing,Fuel subsidies,,Modeled
Asia,Brunei Darsm,Ambiguous,Fisher assistance,,Modeled
Asia,Brunei Darsm,Ambiguous,Vessel buyback,,Modeled
Asia,Brunei Darsm,Ambiguous,Rural fisher communities,,Modeled
Asia,Cambodia,Beneficial,Fisheries mangt.,47214664.18,Modeled
Asia,Cambodia,Beneficial,Fishery R&D,3959482.90,Modeled
Asia,Cambodia,Beneficial,MPAs,831999.09,Modeled
Asia,Cambodia,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Asia,Cambodia,Capacity-enhancing,Fisheries dev. projects,12181654.70,Modeled
Asia,Cambodia,Capacity-enhancing,Fishing port develop.,,Modeled
Asia,Cambodia,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Asia,Cambodia,Capacity-enhancing,Tax exemption,,Modeled
Asia,Cambodia,Capacity-enhancing,Fishing access,1495908.19,Modeled
Asia,Cambodia,Capacity-enhancing,Fuel subsidies,,Modeled
Asia,Cambodia,Ambiguous,Fisher assistance,,Modeled
Asia,Cambodia,Ambiguous,Vessel buyback,,Modeled
Asia,Cambodia,Ambiguous,Rural fisher communities,2134964.98,Modeled
Asia,China,Beneficial,Fisheries mangt.,75546273.06,Reported
Asia,China,Beneficial,Fishery R&D,6315839.96,Reported
Asia,China,Beneficial,MPAs,5454908.03,Modeled
Asia,China,Capacity-enhancing,Boat constsruct. & renov.,193951209.81,Reported
Asia,China,Capacity-enhancing,Fisheries dev. projects,169877487.96,Reported
Asia,China,Capacity-enhancing,Fishing port develop.,381185523.82,Reported
Asia,China,Capacity-enhancing,Markt. & storage infrast.,154800.00,Reported
Asia,China,Capacity-enhancing,Tax exemption,1062517493.45,Modeled
Asia,China,Capacity-enhancing,Fishing access,275424946.96,Modeled
Asia,China,Capacity-enhancing,Fuel subsidies,3433436330.88,Reported
Asia,China,Ambiguous,Fisher assistance,326195022.33,Reported
Asia,China,Ambiguous,Vessel buyback,22058999.86,Reported
Asia,China,Ambiguous,Rural fisher communities,,Modeled
Asia,Cyprus,Beneficial,Fisheries mangt.,634213.88,Modeled
Asia,Cyprus,Beneficial,Fishery R&D,152267.42,Modeled
Asia,Cyprus,Beneficial,MPAs,1131549.55,Modeled
Asia,Cyprus,Capacity-enhancing,Boat constsruct. & renov.,95808.13,Modeled
Asia,Cyprus,Capacity-enhancing,Fisheries dev. projects,,Modeled
Asia,Cyprus,Capacity-enhancing,Fishing port develop.,,Modeled
Asia,Cyprus,Capacity-enhancing,Markt. & storage infrast.,196937.11,Modeled
Asia,Cyprus,Capacity-enhancing,Tax exemption,,Modeled
Asia,Cyprus,Capacity-enhancing,Fishing access,25864944.17,Modeled
Asia,Cyprus,Capacity-enhancing,Fuel subsidies,1336154.25,Modeled
Asia,Cyprus,Ambiguous,Fisher assistance,70376.05,Modeled
Asia,Cyprus,Ambiguous,Vessel buyback,44510.60,Modeled
Asia,Cyprus,Ambiguous,Rural fisher communities,,Modeled
Asia,Hong Kong,Beneficial,Fisheries mangt.,1339923.92,Modeled
Asia,Hong Kong,Beneficial,Fishery R&D,,Modeled
Asia,Hong Kong,Beneficial,MPAs,,Modeled
Asia,Hong Kong,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Asia,Hong Kong,Capacity-enhancing,Fisheries dev. projects,40438806.84,Modeled
Asia,Hong Kong,Capacity-enhancing,Fishing port develop.,,Modeled
Asia,Hong Kong,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Asia,Hong Kong,Capacity-enhancing,Tax exemption,,Modeled
Asia,Hong Kong,Capacity-enhancing,Fishing access,71892110.84,Modeled
Asia,Hong Kong,Capacity-enhancing,Fuel subsidies,,Modeled
Asia,Hong Kong,Ambiguous,Fisher assistance,,Modeled
Asia,Hong Kong,Ambiguous,Vessel buyback,,Modeled
Asia,Hong Kong,Ambiguous,Rural fisher communities,,Modeled
Asia,India,Beneficial,Fisheries mangt.,52122688.50,Reported
Asia,India,Beneficial,Fishery R&D,26710263.24,Reported
Asia,India,Beneficial,MPAs,4127834.91,Modeled
Asia,India,Capacity-enhancing,Boat constsruct. & renov.,8531208.05,Reported
Asia,India,Capacity-enhancing,Fisheries dev. projects,159275.67,Reported
Asia,India,Capacity-enhancing,Fishing port develop.,10530705.02,Reported
Asia,India,Capacity-enhancing,Markt. & storage infrast.,2762127.64,Reported
Asia,India,Capacity-enhancing,Tax exemption,45961256.01,Modeled
Asia,India,Capacity-enhancing,Fishing access,15971345.57,Modeled
Asia,India,Capacity-enhancing,Fuel subsidies,90487776.48,Reported
Asia,India,Ambiguous,Fisher assistance,8120990.29,Reported
Asia,India,Ambiguous,Vessel buyback,,Modeled
Asia,India,Ambiguous,Rural fisher communities,12759476.32,Modeled
Asia,Indonesia,Beneficial,Fisheries mangt.,210754701.24,Reported
Asia,Indonesia,Beneficial,Fishery R&D,56386451.51,Reported
Asia,Indonesia,Beneficial,MPAs,41431606.13,Modeled
Asia,Indonesia,Capacity-enhancing,Boat constsruct. & renov.,56469571.25,Reported
Asia,Indonesia,Capacity-enhancing,Fisheries dev. projects,91542906.40,Reported
Asia,Indonesia,Capacity-enhancing,Fishing port develop.,26823464.50,Reported
Asia,Indonesia,Capacity-enhancing,Markt. & storage infrast.,95548393.58,Reported
Asia,Indonesia,Capacity-enhancing,Tax exemption,98477275.81,Modeled
Asia,Indonesia,Capacity-enhancing,Fishing access,1019127.28,Modeled
Asia,Indonesia,Capacity-enhancing,Fuel subsidies,141322801.13,Reported
Asia,Indonesia,Ambiguous,Fisher assistance,121921.02,Reported
Asia,Indonesia,Ambiguous,Vessel buyback,,Modeled
Asia,Indonesia,Ambiguous,Rural fisher communities,56310415.98,Reported
Asia,Iran,Beneficial,Fisheries mangt.,67581365.43,Modeled
Asia,Iran,Beneficial,Fishery R&D,16225504.35,Modeled
Asia,Iran,Beneficial,MPAs,5544576.34,Modeled
Asia,Iran,Capacity-enhancing,Boat constsruct. & renov.,10987338.87,Modeled
Asia,Iran,Capacity-enhancing,Fisheries dev. projects,130138.96,Reported
Asia,Iran,Capacity-enhancing,Fishing port develop.,,Modeled
Asia,Iran,Capacity-enhancing,Markt. & storage infrast.,22584877.59,Modeled
Asia,Iran,Capacity-enhancing,Tax exemption,,Modeled
Asia,Iran,Capacity-enhancing,Fishing access,3609634.32,Modeled
Asia,Iran,Capacity-enhancing,Fuel subsidies,,Modeled
Asia,Iran,Ambiguous,Fisher assistance,,Modeled
Asia,Iran,Ambiguous,Vessel buyback,,Modeled
Asia,Iran,Ambiguous,Rural fisher communities,9288242.43,Modeled
Asia,Iraq,Beneficial,Fisheries mangt.,642196.11,Modeled
Asia,Iraq,Beneficial,Fishery R&D,,Modeled
Asia,Iraq,Beneficial,MPAs,,Modeled
Asia,Iraq,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Asia,Iraq,Capacity-enhancing,Fisheries dev. projects,,Modeled
Asia,Iraq,Capacity-enhancing,Fishing port develop.,,Modeled
Asia,Iraq,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Asia,Iraq,Capacity-enhancing,Tax exemption,,Modeled
Asia,Iraq,Capacity-enhancing,Fishing access,454381.89,Modeled
Asia,Iraq,Capacity-enhancing,Fuel subsidies,,Modeled
Asia,Iraq,Ambiguous,Fisher assistance,,Modeled
Asia,Iraq,Ambiguous,Vessel buyback,,Modeled
Asia,Iraq,Ambiguous,Rural fisher communities,,Modeled
Asia,Israel,Beneficial,Fisheries mangt.,810720.14,Modeled
Asia,Israel,Beneficial,Fishery R&D,194644.53,Modeled
Asia,Israel,Beneficial,MPAs,485400.26,Modeled
Asia,Israel,Capacity-enhancing,Boat constsruct. & renov.,122495.80,Modeled
Asia,Israel,Capacity-enhancing,Fisheries dev. projects,,Modeled
Asia,Israel,Capacity-enhancing,Fishing port develop.,,Modeled
Asia,Israel,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Asia,Israel,Capacity-enhancing,Tax exemption,,Modeled
Asia,Israel,Capacity-enhancing,Fishing access,,Modeled
Asia,Israel,Capacity-enhancing,Fuel subsidies,,Modeled
Asia,Israel,Ambiguous,Fisher assistance,,Modeled
Asia,Israel,Ambiguous,Vessel buyback,,Modeled
Asia,Israel,Ambiguous,Rural fisher communities,,Modeled
Asia,Japan,Beneficial,Fisheries mangt.,345674903.43,Reported
Asia,Japan,Beneficial,Fishery R&D,160089659.92,Reported
Asia,Japan,Beneficial,MPAs,28316872.91,Modeled
Asia,Japan,Capacity-enhancing,Boat constsruct. & renov.,166269953.12,Modeled
Asia,Japan,Capacity-enhancing,Fisheries dev. projects,13123527.45,Reported
Asia,Japan,Capacity-enhancing,Fishing port develop.,659197308.68,Reported
Asia,Japan,Capacity-enhancing,Markt. & storage infrast.,28454674.41,Reported
Asia,Japan,Capacity-enhancing,Tax exemption,510935602.66,Modeled
Asia,Japan,Capacity-enhancing,Fishing access,112772067.13,Modeled
Asia,Japan,Capacity-enhancing,Fuel subsidies,631798086.19,Modeled
Asia,Japan,Ambiguous,Fisher assistance,83525247.96,Reported
Asia,Japan,Ambiguous,Vessel buyback,77245809.53,Modeled
Asia,Japan,Ambiguous,Rural fisher communities,,Modeled
Asia,Jordan,Beneficial,Fisheries mangt.,105527.82,Modeled
Asia,Jordan,Beneficial,Fishery R&D,,Modeled
Asia,Jordan,Beneficial,MPAs,,Modeled
Asia,Jordan,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Asia,Jordan,Capacity-enhancing,Fisheries dev. projects,41089.70,Modeled
Asia,Jordan,Capacity-enhancing,Fishing port develop.,,Modeled
Asia,Jordan,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Asia,Jordan,Capacity-enhancing,Tax exemption,,Modeled
Asia,Jordan,Capacity-enhancing,Fishing access,,Modeled
Asia,Jordan,Capacity-enhancing,Fuel subsidies,,Modeled
Asia,Jordan,Ambiguous,Fisher assistance,,Modeled
Asia,Jordan,Ambiguous,Vessel buyback,,Modeled
Asia,Jordan,Ambiguous,Rural fisher communities,,Modeled
Asia,Korea D P Rp,Beneficial,Fisheries mangt.,10816416.03,Modeled
Asia,Korea D P Rp,Beneficial,Fishery R&D,,Modeled
Asia,Korea D P Rp,Beneficial,MPAs,,Modeled
Asia,Korea D P Rp,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Asia,Korea D P Rp,Capacity-enhancing,Fisheries dev. projects,,Modeled
Asia,Korea D P Rp,Capacity-enhancing,Fishing port develop.,,Modeled
Asia,Korea D P Rp,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Asia,Korea D P Rp,Capacity-enhancing,Tax exemption,,Modeled
Asia,Korea D P Rp,Capacity-enhancing,Fishing access,975586.68,Modeled
Asia,Korea D P Rp,Capacity-enhancing,Fuel subsidies,,Modeled
Asia,Korea D P Rp,Ambiguous,Fisher assistance,,Modeled
Asia,Korea D P Rp,Ambiguous,Vessel buyback,,Modeled
Asia,Korea D P Rp,Ambiguous,Rural fisher communities,,Modeled
Asia,Korea Rep,Beneficial,Fisheries mangt.,1177574425.01,Reported
Asia,Korea Rep,Beneficial,Fishery R&D,457516062.93,Reported
Asia,Korea Rep,Beneficial,MPAs,,Modeled
Asia,Korea Rep,Capacity-enhancing,Boat constsruct. & renov.,51840886.06,Modeled
Asia,Korea Rep,Capacity-enhancing,Fisheries dev. projects,131658318.58,Reported
Asia,Korea Rep,Capacity-enhancing,Fishing port develop.,231798842.72,Reported
Asia,Korea Rep,Capacity-enhancing,Markt. & storage infrast.,477334712.32,Reported
Asia,Korea Rep,Capacity-enhancing,Tax exemption,9013873.76,Reported
Asia,Korea Rep,Capacity-enhancing,Fishing access,,Modeled
Asia,Korea Rep,Capacity-enhancing,Fuel subsidies,604086569.58,Modeled
Asia,Korea Rep,Ambiguous,Fisher assistance,4800088.96,Reported
Asia,Korea Rep,Ambiguous,Vessel buyback,24084274.61,Modeled
Asia,Korea Rep,Ambiguous,Rural fisher communities,12132870.40,Reported
Asia,Kuwait,Beneficial,Fisheries mangt.,6419324.15,Modeled
Asia,Kuwait,Beneficial,Fishery R&D,1541205.50,Modeled
Asia,Kuwait,Beneficial,MPAs,237044.87,Modeled
Asia,Kuwait,Capacity-enhancing,Boat constsruct. & renov.,890075.09,Modeled
Asia,Kuwait,Capacity-enhancing,Fisheries dev. projects,,Modeled
Asia,Kuwait,Capacity-enhancing,Fishing port develop.,,Modeled
Asia,Kuwait,Capacity-enhancing,Markt. & storage infrast.,1829581.95,Modeled
Asia,Kuwait,Capacity-enhancing,Tax exemption,,Modeled
Asia,Kuwait,Capacity-enhancing,Fishing access,,Modeled
Asia,Kuwait,Capacity-enhancing,Fuel subsidies,,Modeled
Asia,Kuwait,Ambiguous,Fisher assistance,,Modeled
Asia,Kuwait,Ambiguous,Vessel buyback,,Modeled
Asia,Kuwait,Ambiguous,Rural fisher communities,,Modeled
Asia,Lebanon,Beneficial,Fisheries mangt.,915918.01,Modeled
Asia,Lebanon,Beneficial,Fishery R&D,,Modeled
Asia,Lebanon,Beneficial,MPAs,705793.28,Modeled
Asia,Lebanon,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Asia,Lebanon,Capacity-enhancing,Fisheries dev. projects,356633.93,Modeled
Asia,Lebanon,Capacity-enhancing,Fishing port develop.,,Modeled
Asia,Lebanon,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Asia,Lebanon,Capacity-enhancing,Tax exemption,,Modeled
Asia,Lebanon,Capacity-enhancing,Fishing access,4074.62,Modeled
Asia,Lebanon,Capacity-enhancing,Fuel subsidies,,Modeled
Asia,Lebanon,Ambiguous,Fisher assistance,,Modeled
Asia,Lebanon,Ambiguous,Vessel buyback,,Modeled
Asia,Lebanon,Ambiguous,Rural fisher communities,,Modeled
Asia,Malaysia,Beneficial,Fisheries mangt.,54244846.23,Reported
Asia,Malaysia,Beneficial,Fishery R&D,6499537.44,Reported
Asia,Malaysia,Beneficial,MPAs,8206086.76,Modeled
Asia,Malaysia,Capacity-enhancing,Boat constsruct. & renov.,55397596.97,Modeled
Asia,Malaysia,Capacity-enhancing,Fisheries dev. projects,59466863.60,Reported
Asia,Malaysia,Capacity-enhancing,Fishing port develop.,3501657.77,Reported
Asia,Malaysia,Capacity-enhancing,Markt. & storage infrast.,113871790.12,Modeled
Asia,Malaysia,Capacity-enhancing,Tax exemption,170232829.58,Modeled
Asia,Malaysia,Capacity-enhancing,Fishing access,3849380.43,Modeled
Asia,Malaysia,Capacity-enhancing,Fuel subsidies,74825408.33,Reported
Asia,Malaysia,Ambiguous,Fisher assistance,65754704.81,Reported
Asia,Malaysia,Ambiguous,Vessel buyback,,Modeled
Asia,Malaysia,Ambiguous,Rural fisher communities,,Modeled
Asia,Maldives,Beneficial,Fisheries mangt.,12151893.92,Modeled
Asia,Maldives,Beneficial,Fishery R&D,2917529.21,Modeled
Asia,Maldives,Beneficial,MPAs,5904549.88,Modeled
Asia,Maldives,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Asia,Maldives,Capacity-enhancing,Fisheries dev. projects,4739576.21,Modeled
Asia,Maldives,Capacity-enhancing,Fishing port develop.,2952358.40,Modeled
Asia,Maldives,Capacity-enhancing,Markt. & storage infrast.,3780497.18,Modeled
Asia,Maldives,Capacity-enhancing,Tax exemption,,Modeled
Asia,Maldives,Capacity-enhancing,Fishing access,,Modeled
Asia,Maldives,Capacity-enhancing,Fuel subsidies,17439483.72,Modeled
Asia,Maldives,Ambiguous,Fisher assistance,,Modeled
Asia,Maldives,Ambiguous,Vessel buyback,,Modeled
Asia,Maldives,Ambiguous,Rural fisher communities,,Modeled
Asia,Myanmar,Beneficial,Fisheries mangt.,3827487.51,Reported
Asia,Myanmar,Beneficial,Fishery R&D,11470782.06,Modeled
Asia,Myanmar,Beneficial,MPAs,618349.54,Modeled
Asia,Myanmar,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Asia,Myanmar,Capacity-enhancing,Fisheries dev. projects,3566126.39,Reported
Asia,Myanmar,Capacity-enhancing,Fishing port develop.,,Modeled
Asia,Myanmar,Capacity-enhancing,Markt. & storage infrast.,118972629.57,Modeled
Asia,Myanmar,Capacity-enhancing,Tax exemption,,Modeled
Asia,Myanmar,Capacity-enhancing,Fishing access,,Modeled
Asia,Myanmar,Capacity-enhancing,Fuel subsidies,,Modeled
Asia,Myanmar,Ambiguous,Fisher assistance,115497.87,Reported
Asia,Myanmar,Ambiguous,Vessel buyback,,Modeled
Asia,Myanmar,Ambiguous,Rural fisher communities,6185079.86,Modeled
Asia,Oman,Beneficial,Fisheries mangt.,49382735.40,Modeled
Asia,Oman,Beneficial,Fishery R&D,11856223.73,Modeled
Asia,Oman,Beneficial,MPAs,1058771.54,Modeled
Asia,Oman,Capacity-enhancing,Boat constsruct. & renov.,7475368.68,Modeled
Asia,Oman,Capacity-enhancing,Fisheries dev. projects,19264087.00,Modeled
Asia,Oman,Capacity-enhancing,Fishing port develop.,11999910.22,Modeled
Asia,Oman,Capacity-enhancing,Markt. & storage infrast.,15365894.19,Modeled
Asia,Oman,Capacity-enhancing,Tax exemption,,Modeled
Asia,Oman,Capacity-enhancing,Fishing access,191570.48,Modeled
Asia,Oman,Capacity-enhancing,Fuel subsidies,32078527.62,Modeled
Asia,Oman,Ambiguous,Fisher assistance,,Modeled
Asia,Oman,Ambiguous,Vessel buyback,,Modeled
Asia,Oman,Ambiguous,Rural fisher communities,6787060.53,Modeled
Asia,Pakistan,Beneficial,Fisheries mangt.,57190841.19,Modeled
Asia,Pakistan,Beneficial,Fishery R&D,4796098.03,Modeled
Asia,Pakistan,Beneficial,MPAs,1312712.30,Modeled
Asia,Pakistan,Capacity-enhancing,Boat constsruct. & renov.,5477031.40,Modeled
