flag,eez_iso3,effort_per_eez
KOR,URY,238.18611110400002
KOR,USA,47.963750003
KOR,VUT,11.60513889
KOR,WLF,10.60402778
KOR,ZAF,56.65652777
KWT,CHN,301.7356944
LBN,CHN,4456.795555411
LBN,VNM,3.264027778
LBR,RUS,5310.923611
LBY,ITA,139.856250002
LBY,MLT,227.515277773
LBY,TUR,240.2570833
LIE,CHN,241.42777777999999
LIE,GBR,83.00097222
LKA,CHN,160.93194441
LKA,IND,547.16180557
LKA,IOT,488.130277769
LKA,MDV,555.20875001
LKA,MMR,12.51166667
LKA,PRK,89.00777777399999
LKA,RUS,10.12111111
LSO,CHN,15.9575
LTU,AGO,0.22625
LTU,CAN,573.5601389
LTU,CHL,12.38388889
LTU,CHN,1683.195
LTU,DNK,1562.120277642
LTU,ESH,15.46361111
LTU,ESP,0.139722222
LTU,EST,755.87208333
LTU,FIN,61.27291667
LTU,FRA,1.310833333
LTU,FRO,1.219583333
LTU,ISL,422.03972220000003
LTU,LVA,2504.390277811
LTU,MEX,0.533472222
LTU,MRT,12.09666667
LTU,NLD,1.990277778
LTU,NOR,275.450416689
LTU,POL,5216.61916613
LTU,RUS,197.687361121
LTU,SJM,828.8726388399999
LTU,SWE,583.300000003
LUX,CHN,453.78555557000004
LVA,DNK,371.87749994800004
LVA,EGY,4.401527777
LVA,ERI,0.50125
LVA,ESH,2.445
LVA,ESP,18.236111116
LVA,EST,1709.0238888000001
LVA,GRL,103.9890278
LVA,IND,5.906805556
LVA,ISL,188.48000003
LVA,KOR,9.725416667
LVA,LTU,2524.210000057
LVA,MOZ,4038.6677773
LVA,MRT,13.574722222
LVA,NOR,141.275000007
LVA,POL,7441.2593053
LVA,PRT,28.37041667
LVA,RUS,59.984305553
LVA,SJM,741.191944422
LVA,SWE,258.04069446
LVA,ZAF,7.892222222
MAC,CHN,578.283333289
MAR,CHN,31.08694444
MAR,CYP,11.68180556
MAR,ESH,46341.07361362
MAR,ESP,31.098611116
MAR,MRT,1435.355139
MAR,SYR,4.266666667
MAR,TUR,305.87347223300003
MAR,TWN,37.15666667
MDA,CHN,1172.942083329
MDA,TWN,2.219583333
MDG,CHN,72.36361111
MDV,CHN,916.18458333
MDV,KOR,8.669722222
MEX,CHN,849.1113889200001
MEX,CPT,585.523888853
MEX,GTM,1.124444444
MEX,KIR,11.85958333
MEX,PER,950.5284723
MHL,CHN,512.34125001
MHL,FSM,299.140277766
MHL,JPN,5.792916667
