year,ssvid,flag,eez_iso3,vessel_class,length_m,length_class,tonnage_gt,engine_power_kw,fishing_hours_year_tot,fishing_hours_year_eez_fao,kwhr,kwhr_in_eez
2018,416000775,TWN,TON,drifting_longlines,22.42,"[20,25)",64.04166667,335.7,3817.7375,2215.65,1281614.47875,743793.705
2018,416000775,TWN,TON,drifting_longlines,22.42,"[20,25)",64.04166667,335.7,3817.7375,1601.47375,1281614.47875,537614.737875
2018,416000775,TWN,FJI,drifting_longlines,22.42,"[20,25)",64.04166667,335.7,3817.7375,2.802777778,1281614.47875,940.8925000745999
2018,416000776,TWN,PLW,drifting_longlines,21.8,"[20,25)",49.07,406.57,2354.807222,1959.541667,957393.9722485399,796690.85555219
2018,416000776,TWN,PHL,drifting_longlines,21.8,"[20,25)",49.07,406.57,2354.807222,0.374861111,957393.9722485399,152.40728189927
2018,416000784,TWN,JPN,drifting_longlines,24.5,"[20,25)",65.87,484.9,2773.448611,41.54347222,1344845.2314739,20144.429679478
2018,416000784,TWN,JPN,drifting_longlines,24.5,"[20,25)",65.87,484.9,2773.448611,0.192083333,1344845.2314739,93.14120817169999
2018,416000784,TWN,MNP,drifting_longlines,24.5,"[20,25)",65.87,484.9,2773.448611,3.280277778,1344845.2314739,1590.6066945521998
2018,416000795,TWN,MUS,drifting_longlines,21.7,"[20,25)",48.105,451.33,3178.026389,1154.929444,1434338.65014737,521254.30596052005
2018,416000803,TWN,JPN,drifting_longlines,22.9,"[20,25)",62.79,447,2960.144722,22.22097222,1323184.690734,9932.77458234
2018,416000803,TWN,JPN,drifting_longlines,22.9,"[20,25)",62.79,447,2960.144722,8.862638889,1323184.690734,3961.5995833829998
2018,416000817,TWN,PLW,drifting_longlines,21.5,"[20,25)",48.47,427.1571128,2161.549722,1894.406806,923321.3384231627,809209.3417196297
2018,416000818,TWN,MUS,drifting_longlines,22.45,"[20,25)",54.285,447.6,4456.795417,2288.248611,1994861.6286492003,1024220.0782836
2018,416000819,TWN,PLW,drifting_longlines,20.3,"[20,25)",40.37,406.57,2786.940972,2325.175139,1133086.59098604,945346.45626323
2018,416000819,TWN,FSM,drifting_longlines,20.3,"[20,25)",40.37,406.57,2786.940972,5.296805556,1133086.59098604,2153.52223490292
2018,416000831,TWN,FSM,drifting_longlines,22,"[20,25)",49.63,427.458,3620.309306,7.621527778,1547530.175324148,3257.883020928324
2018,416000833,TWN,MNP,drifting_longlines,35.81705525,"[35,40)",186.788865,800.3637506,2015.984583,4.539444444,1613520.982001657,3633.2067808401716
2018,416000833,TWN,FSM,drifting_longlines,35.81705525,"[35,40)",186.788865,800.3637506,2015.984583,3.146944444,1613520.982001657,2518.7002581296715
2018,416000836,TWN,JPN,drifting_longlines,22.9,"[20,25)",67.09,469.98,4792.912639,92.4875,2252573.08207722,43467.27525
2018,416000853,TWN,PLW,drifting_longlines,28.08127831,"[25,30)",100.6910029,486.4256565,1767.001389,1752.1225,859514.8106807369,852277.3373309212
2018,416000855,TWN,FSM,drifting_longlines,26.15,"[25,30)",79.56,373,4174.921111,1.136111111,1557245.5744029998,423.76944440299997
2018,416000867,TWN,CHN,trawlers,20.90404288,"[20,25)",100.2739051,302.85046,38.24347222,8.094722222,11582.053153824221,2451.490348504922
2018,416000869,TWN,CHN,trawlers,17.00965395,"[15,20)",42.06057135,226.1529703,1774.302222,8.936805556,401263.71771519,2021.085121482943
2018,416000947,TWN,PLW,drifting_longlines,20.25,"[20,25)",41.37,406.57,3370.594028,3181.295972,1370382.41396396,1293419.5033360398
2018,416000947,TWN,FSM,drifting_longlines,20.25,"[20,25)",41.37,406.57,3370.594028,0.751111111,1370382.41396396,305.37924439927
2018,416000961,TWN,JPN,drifting_longlines,23.2,"[20,25)",61.23,447.6,46.22763889,17.97833333,20691.491167164,8047.101998508001
2018,416000978,TWN,PLW,drifting_longlines,21.38,"[20,25)",42.19,427.458,3195.782917,39.99180556,1366062.974134986,17094.81722106648
2018,416000978,TWN,FSM,drifting_longlines,21.38,"[20,25)",42.19,427.458,3195.782917,2.227916667,1366062.974134986,952.3408026424861
2018,416000985,TWN,PLW,drifting_longlines,22.17238075,"[20,25)",62.09852956,518.5182962,4028.855417,10.59916667,2089035.2464589807,5495.861842868228
2018,416000986,TWN,LKA,drifting_longlines,27.76,"[25,30)",88.58,447.6,5701.005278,10.51888889,2551769.9624328,4708.254667164
2018,416001008,TWN,JPN,drifting_longlines,22.75,"[20,25)",60.09,447.6,3174.574167,12.15833333,1420939.3971492,5442.069998508
2018,416001008,TWN,FSM,drifting_longlines,22.75,"[20,25)",60.09,447.6,3174.574167,9.554444444,1420939.3971492,4276.5693331344
2018,416001021,TWN,JPN,drifting_longlines,17.73389729,"[15,20)",35.29792961,325.3383557,223.6359722,2.750694444,72757.35947091892,894.9064074440859
2018,416001047,TWN,FSM,drifting_longlines,22.1,"[20,25)",58.43,335.7,4488.872778,9.240277778,1506914.5915746,3101.9612500746
2018,416001054,TWN,MNP,drifting_longlines,20.3,"[20,25)",41.12,447.6,1709.236806,5.382916667,765054.3943656,2409.3935001492
2018,416001084,TWN,PNG,drifting_longlines,27,"[25,30)",79.14,335.7,4325.317917,4325.317917,1452009.2247369,1452009.2247369
2018,416001159,TWN,PHL,drifting_longlines,21.92,"[20,25)",42.35,452.1389508,27.525,21.99694444,12445.124620769999,9945.675379907492
2018,416001159,TWN,PHL,drifting_longlines,21.92,"[20,25)",42.35,452.1389508,27.525,4.948888889,12445.124620769999,2237.5854298982376
2018,416001241,TWN,CHN,drifting_longlines,20.95,"[20,25)",37.08,373,440.0818056,15.17694444,164150.5134888,5661.00027612
2018,416001245,TWN,FSM,drifting_longlines,28.3,"[25,30)",97.85666667,484.9,4590.501806,5.566388889,2225934.3257294,2699.1419722760998
