eez_iso3,number_countries_in_EEZ,eez_fished
SWE,14,ARG
SWE,14,DEU
SWE,14,DNK
SWE,14,ESP
SWE,14,EST
SWE,14,FIN
SWE,14,GRL
SWE,14,IRL
SWE,14,ISL
SWE,14,LTU
SWE,14,LVA
SWE,14,NOR
SWE,14,POL
SWE,14,RUS
SYC,11,CHN
SYC,11,ESP
SYC,11,FRA
SYC,11,FSM
SYC,11,IRN
SYC,11,ITA
SYC,11,KOR
SYC,11,MUS
SYC,11,MYS
SYC,11,REU
SYC,11,TWN
SYR,4,CYP
SYR,4,ITA
SYR,4,MAR
SYR,4,TUR
TAA,6,CHN
TAA,6,ESP
TAA,6,FLK
TAA,6,ISL
TAA,6,JPN
TAA,6,UKR
TGO,3,BLZ
TGO,3,CHN
TGO,3,GHA
THA,8,ALB
THA,8,CHN
THA,8,COG
THA,8,JPN
THA,8,MYS
THA,8,SRB
THA,8,SVN
THA,8,TWN
TKL,11,CHN
TKL,11,COK
TKL,11,ESP
TKL,11,JPN
TKL,11,KIR
TKL,11,KOR
TKL,11,SLB
TKL,11,TUV
TKL,11,TWN
TKL,11,USA
TKL,11,VUT
TON,10,AUS
TON,10,CHN
TON,10,COK
TON,10,ESP
TON,10,FJI
TON,10,JPN
TON,10,KIR
TON,10,NZL
TON,10,TWN
TON,10,VUT
TTO,4,CHN
TTO,4,TWN
TTO,4,VCT
TTO,4,VEN
TUN,9,CYP
TUN,9,DZA
TUN,9,EGY
TUN,9,ESP
TUN,9,FRA
TUN,9,ITA
TUN,9,MLT
TUN,9,PRT
TUN,9,TUR
TUR,9,CYP
TUR,9,GBR
TUR,9,GRC
TUR,9,ITA
TUR,9,LBY
TUR,9,MAR
TUR,9,NOR
TUR,9,RUS
TUR,9,UKR
TUV,13,CHN
TUV,13,FJI
TUV,13,FSM
TUV,13,KIR
TUV,13,KOR
TUV,13,MHL
TUV,13,NZL
TUV,13,PHL
TUV,13,PNG
TUV,13,SLB
TUV,13,TWN
TUV,13,USA
TUV,13,VUT
TWN,35,AGO
TWN,35,AIA
TWN,35,ALB
TWN,35,ARG
TWN,35,ATF
TWN,35,BTN
TWN,35,CHN
TWN,35,COG
TWN,35,DNK
TWN,35,ESP
TWN,35,FSM
TWN,35,GBR
TWN,35,GUF
TWN,35,JPN
TWN,35,KOR
TWN,35,MAR
TWN,35,MDA
TWN,35,MHL
TWN,35,MLT
TWN,35,MNG
TWN,35,MYS
TWN,35,PAN
TWN,35,PHL
TWN,35,PNG
TWN,35,PYF
TWN,35,RUS
TWN,35,SGP
TWN,35,SLB
TWN,35,SOM
TWN,35,SWE
TWN,35,SYC
TWN,35,TGO
TWN,35,TZA
TWN,35,USA
TWN,35,VUT
TZA,1,CHN
UKR,2,RUS
UKR,2,UNK
UMI,9,CHN
UMI,9,ESP
UMI,9,FJI
UMI,9,JPN
UMI,9,KIR
UMI,9,KOR
UMI,9,SVK
UMI,9,TWN
UMI,9,USA
URY,13,ARG
URY,13,BLZ
URY,13,BRA
URY,13,CHL
URY,13,CHN
URY,13,ESP
URY,13,FLK
URY,13,GBR
URY,13,KOR
URY,13,NOR
URY,13,PRT
URY,13,TWN
URY,13,USA
USA,13,ARG
USA,13,BMU
USA,13,CAN
USA,13,CHN
USA,13,ISL
USA,13,JPN
USA,13,KOR
USA,13,NLD
USA,13,RUS
USA,13,TCA
USA,13,TWN
USA,13,VUT
USA,13,WLF
VCT,4,CAN
VCT,4,PRT
VCT,4,USA
VCT,4,YEM
VEN,4,PRT
VEN,4,RUS
VEN,4,TWN
VEN,4,USA
VGB,1,USA
VIR,1,USA
VNM,7,BTN
VNM,7,CHN
VNM,7,FJI
VNM,7,IND
VNM,7,LBN
VNM,7,NIU
VNM,7,VGB
VUT,5,CHN
VUT,5,FJI
VUT,5,KOR
VUT,5,NCL
VUT,5,TWN
WLF,6,CHN
WLF,6,COK
WLF,6,FJI
WLF,6,KOR
WLF,6,TWN
WLF,6,VUT
WSM,6,CHN
WSM,6,COK
WSM,6,FSM
WSM,6,TWN
WSM,6,USA
WSM,6,VUT
ZAF,19,BLZ
ZAF,19,CHN
ZAF,19,DNK
ZAF,19,ESP
ZAF,19,FRA
ZAF,19,GBR
ZAF,19,JPN
ZAF,19,KEN
ZAF,19,KOR
ZAF,19,LVA
ZAF,19,MOZ
ZAF,19,NAM
ZAF,19,NOR
ZAF,19,PRT
ZAF,19,RUS
ZAF,19,SYC
ZAF,19,TWN
ZAF,19,UKR
ZAF,19,VUT
