year,ssvid,flag,eez_iso3,vessel_class,length_m,length_class,tonnage_gt,engine_power_kw,fishing_hours_year_tot,fishing_hours_year_eez_fao,kwhr
2018,412052055,CHN,KOR,trawlers,31.73273033,"[30,35)",349.6629922,323.1380797,245.7820833,27.78222222,79421.55042222745
2018,412055888,CHN,KOR,drifting_longlines,24.73153063,"[20,25)",185.0267764,289.4617289,14.17694444,7.45,4103.682848121643
2018,412055889,CHN,KOR,trawlers,38.61838254,"[35,40)",772.2159971,632.5685431,203.7315278,80.30722222,128874.15572398316
2018,412056528,CHN,KOR,trawlers,48.64581733,"[45,50)",942.3257313,795.1067112,10.84361111,3.056944444,8621.82796720388
2018,412056858,CHN,KOR,fishing,52.39554596,"[50,55)",1600.036861,1002.443311,3.364027778,2.312777778,3372.247144074293
2018,412058168,CHN,KOR,set_longlines,25.80823414,"[25,30)",232.2750483,181.6019778,127.35375,35.8525,23127.69288024675
2018,412058859,CHN,KOR,fishing,51.03900108,"[50,55)",1156.619907,1130.104682,16.76638889,14.56652778,18947.774584821782
2018,412059127,CHN,KOR,drifting_longlines,27.80576193,"[25,30)",144.9343838,352.742391,139.3248611,51.26138889,49145.784630156886
2018,412059998,CHN,KOR,trawlers,36.26630151,"[35,40)",1034.529865,677.3150329,33.13083333,24.96152778,22440.01146691337
2018,412067888,CHN,KOR,trawlers,42.26850393,"[40,45)",315.7722299,601.3653162,222.9651389,86.55916667,134083.50125617543
2018,412069200,CHN,KOR,set_gillnets,23.87770074,"[20,25)",135.1403827,183.7368629,535.8733333,15.67180556,98459.6851723081
2018,412070118,CHN,KOR,fixed_gear,22.91983299,"[20,25)",93.00252785,302.7097348,203.0993056,16.52583333,61480.13693624015
2018,412071028,CHN,KOR,drifting_longlines,25.96617926,"[25,30)",391.4777002,278.471476,57.41680556,15.71888889,15988.942591498206
2018,412075080,CHN,KOR,set_longlines,23.96838647,"[20,25)",121.9493119,296.8101903,321.4713889,18.71166667,95415.9841154143
2018,412080181,CHN,KOR,dredge_fishing,15.45876056,"[15,20)",42.8630602,174.8789414,0.461805556,0.332777778,80.76006676591842
2018,412087002,CHN,KOR,fishing,27.58511877,"[25,30)",275.33978,350.1332203,114.5526389,55.15027778,40108.684351920056
2018,412087006,CHN,KOR,trawlers,33.26144828,"[30,35)",241.348708,393.6142206,33.39541667,4.164583333,13144.9109041743
2018,412108149,CHN,KOR,set_gillnets,21.55166568,"[20,25)",49.71821516,143.8782019,734.8125,138.8269444,105723.50123364375
2018,412110002,CHN,KOR,drifting_longlines,44.35895413,"[40,45)",893.6365175,1095.609804,1134.371528,305.53,1242828.5674552603
2018,412110058,CHN,KOR,trawlers,31.55005365,"[30,35)",162.9795433,438.9100056,1600.505694,5.782222222,702477.9631163718
2018,412111310,CHN,KOR,trawlers,43.22310946,"[40,45)",630.7391829,520.9003934,1.795972222,1.795972222,935.5226369752721
2018,412111566,CHN,KOR,trawlers,48.45579557,"[45,50)",824.1319687,1091.118287,263.2301389,1.744861111,287215.21824334003
2018,412123234,CHN,KOR,fishing,27.42110769,"[25,30)",272.455144,337.6698956,522.0681944,23.52277778,176286.71269912852
2018,412125755,CHN,KOR,tuna_purse_seines,39.61143757,"[35,40)",588.5257901,301.0695739,50.48208333,23.74277778,15198.619317747394
2018,412130281,CHN,KOR,drifting_longlines,27.88064818,"[25,30)",369.123363,242.6688576,147.8815278,135.0384722,35886.24141136864
2018,412135168,CHN,KOR,fishing,38.47161739,"[35,40)",567.5008418,279.8325902,12.05069444,11.34708333,3372.1770388539385
2018,412155556,CHN,KOR,set_gillnets,27.00223894,"[25,30)",279.7030094,193.4562693,105.8668056,64.54361111,20480.59725408435
2018,412170428,CHN,KOR,trawlers,33.92575256,"[30,35)",350.0098367,422.0501324,480.9545833,22.43916667,202986.94556015183
2018,412189028,CHN,KOR,trawlers,39.7935221,"[35,40)",327.8012608,478.9752755,93.53722222,0.549027778,44802.01678232922
2018,412189655,CHN,KOR,fishing,41.71686861,"[40,45)",429.4909899,239.9167037,11.52888889,15.53222222,2765.9730198123516
2018,412200007,CHN,KOR,fishing,31.00959548,"[30,35)",291.8000361,387.1349026,386.6590278,21.37972222,149689.20506676368
2018,412200078,CHN,KOR,drifting_longlines,57.31,"[55,60)",636,735,5775.765833,4.524444444,4245187.887255
2018,412200083,CHN,KOR,trawlers,103.1,"[100,105)",6394,5152,3601.999028,4.095833333,18557498.992256
2018,412200158,CHN,KOR,trawlers,32.93056726,"[30,35)",285.430684,362.9953299,1275.483472,115.5001389,462994.54370063735
2018,412200218,CHN,KOR,tuna_purse_seines,34.75138734,"[30,35)",604.2505537,382.7075159,32.48,31.54472222,12430.340116431998
2018,412200231,CHN,KOR,fishing,35.43530246,"[35,40)",396.0946021,404.2137243,64.43027778,58.70180556,26043.602539137337
2018,412200249,CHN,KOR,drifting_longlines,37.25549357,"[35,40)",378.5163388,464.8095994,5.124583333,5.124583333,2381.955526103647
2018,412200251,CHN,KOR,tuna_purse_seines,38.79324353,"[35,40)",438.5250696,364.3081692,15.80708333,13.59763889,5758.649588344139
2018,412200368,CHN,KOR,trawlers,22.58976478,"[20,25)",123.9202794,222.3781372,323.2752778,13.42083333,71889.35407997652
2018,412200389,CHN,KOR,set_gillnets,21.31700436,"[20,25)",156.8868415,172.0732238,10.93222222,5.710277778,1881.1427206933927
2018,412200507,CHN,KOR,trawlers,23.64431737,"[20,25)",95.24105232,253.305635,82.14458333,15.88222222,20807.685842216066
2018,412200545,CHN,KOR,set_gillnets,24.188918,"[20,25)",134.0553231,282.2267993,432.9272222,10.88486111,122183.66425134591
2018,412200588,CHN,KOR,set_gillnets,22.82263393,"[20,25)",138.9046237,251.409136,233.5861111,130.8675,58725.68237325101
2018,412200596,CHN,KOR,set_gillnets,24.33410937,"[20,25)",197.3403651,192.1253672,41.69013889,0.680138889,8009.73324286025
2018,412200605,CHN,KOR,fixed_gear,24.08678049,"[20,25)",222.2974967,325.3445472,39.81041667,10.64,12952.101985344483
2018,412200609,CHN,KOR,set_gillnets,26.60159803,"[25,30)",202.6541162,262.922948,35.40847222,24.16611111,9309.699900258505
2018,412200626,CHN,KOR,set_gillnets,25.43517593,"[25,30)",156.5571976,248.9409293,50.49347222,10.18569444,12569.891898030533
2018,412200642,CHN,KOR,set_gillnets,25.38710999,"[25,30)",217.1591937,308.3340328,2.100833333,1.93,647.7584138045554
