year,flag,vessels_total,fishing_hours_total,fishing_KWh_total,fishing_days_total,regionname,country,category,type,value,estimate_type,type_code,lsf_prop,new_value,subs_per_fishing_hour,subs_per_fishing_KWh,subs_per_fishing_day
2018,CIV,2,5875.021249999986,5308673.854027776,416,Africa,Cote d'Ivoire,Beneficial,MPAs,213080.52,Modeled,A3,0.779,165989.72508,28.25346803298803,0.03126764416956241,399.01376221153845
2018,CIV,2,5875.021249999986,5308673.854027776,416,Africa,Cote d'Ivoire,Capacity-enhancing,Boat constsruct. & renov.,NA,Modeled,B1,0.848,NA,NA,NA,NA
2018,CIV,2,5875.021249999986,5308673.854027776,416,Africa,Cote d'Ivoire,Capacity-enhancing,Fisheries dev. projects,29977597.08,Reported,B2,0.742,22243377.033359997,3786.0930347035,4.190006326435667,53469.6563301923
2018,CIV,2,5875.021249999986,5308673.854027776,416,Africa,Cote d'Ivoire,Capacity-enhancing,Fishing port develop.,8469529.03,Reported,B3,0.791,6699397.46273,1140.3188478220425,1.2619719438305783,16104.320823870192
2018,CIV,2,5875.021249999986,5308673.854027776,416,Africa,Cote d'Ivoire,Capacity-enhancing,Markt. & storage infrast.,8443324.37,Reported,B4,0.931,7860734.988469999,1337.9926052982391,1.4807342105799046,18895.9975684375
2018,CIV,2,5875.021249999986,5308673.854027776,416,Africa,Cote d'Ivoire,Capacity-enhancing,Tax exemption,1889723,Reported,B5,0.866,1636500.118,278.5522040452201,0.30826910128569324,3933.894514423077
2018,CIV,2,5875.021249999986,5308673.854027776,416,Africa,Cote d'Ivoire,Capacity-enhancing,Fishing access,655127.14,Modeled,B6,1,655127.14,111.51059921698182,0.12340692949199442,1574.824855769231
2018,CIV,2,5875.021249999986,5308673.854027776,416,Africa,Cote d'Ivoire,Capacity-enhancing,Fuel subsidies,2147412.5,Reported,B7,0.939,2016420.3375,343.219241547425,0.37983503845694144,4847.164272836539
2018,CIV,2,5875.021249999986,5308673.854027776,416,Africa,Cote d'Ivoire,Ambiguous,Fisher assistance,2883255.61,Reported,C1,0.753,2171091.47433,369.5461483360601,0.4089705892711337,5218.969890216346
2018,CIV,2,5875.021249999986,5308673.854027776,416,Africa,Cote d'Ivoire,Ambiguous,Vessel buyback,NA,Modeled,C2,0.998,NA,NA,NA,NA
2018,CIV,2,5875.021249999986,5308673.854027776,416,Africa,Cote d'Ivoire,Ambiguous,Rural fisher communities,411787.82,Reported,C3,0.159,65474.263380000004,11.14451515898775,0.01233344996892654,157.39005620192307
2018,CMR,4,14825.142222222175,8500326.336480122,790,Africa,Cameroon,Beneficial,Fisheries mangt.,5131498.14,Reported,A1,0.743,3812703.11802,257.17818155598815,0.44853608756846763,4826.206478506329
2018,CMR,4,14825.142222222175,8500326.336480122,790,Africa,Cameroon,Beneficial,Fishery R&D,658320.11,Modeled,A2,0.783,515464.64613,34.769625707694274,0.06064057139992668,652.4868938354431
2018,CMR,4,14825.142222222175,8500326.336480122,790,Africa,Cameroon,Beneficial,MPAs,1475377.55,Modeled,A3,0.779,1149319.11145,77.5249973472245,0.13520882210340157,1454.8343182911392
2018,CMR,4,14825.142222222175,8500326.336480122,790,Africa,Cameroon,Capacity-enhancing,Boat constsruct. & renov.,770289.02,Modeled,B1,0.848,653205.08896,44.06062884043547,0.07684470726220188,826.8418847594936
2018,CMR,4,14825.142222222175,8500326.336480122,790,Africa,Cameroon,Capacity-enhancing,Fisheries dev. projects,17023910.09,Reported,B2,0.742,12631741.28678,852.0485737968589,1.4860301577563486,15989.545932632911
2018,CMR,4,14825.142222222175,8500326.336480122,790,Africa,Cameroon,Capacity-enhancing,Fishing port develop.,NA,Modeled,B3,0.791,NA,NA,NA,NA
2018,CMR,4,14825.142222222175,8500326.336480122,790,Africa,Cameroon,Capacity-enhancing,Markt. & storage infrast.,NA,Modeled,B4,0.931,NA,NA,NA,NA
2018,CMR,4,14825.142222222175,8500326.336480122,790,Africa,Cameroon,Capacity-enhancing,Tax exemption,1288360.78,Modeled,B5,0.866,1115720.43548,75.25866657842842,0.13125618844676096,1412.3043487088607
2018,CMR,4,14825.142222222175,8500326.336480122,790,Africa,Cameroon,Capacity-enhancing,Fishing access,538959.66,Modeled,B6,1,538959.66,36.35443437379814,0.06340458456130008,682.227417721519
