year,ssvid,flag,vessel_class,length_m,tonnage_gt,engine_power_kw,broadcast_shipname,broadcast_callsign,eez_code,eez_type,eez_name,eez_territory_iso3,eez_sovereign_iso3,eez_sovereign2_iso3,eez_sovereign3_iso3,fishing_hours_year_eez,fishing_KWh_year_eez,fishing_days_year_eez,sovereign_iso3,flag_name,sovereign_name,eez_territory_name,eez_sovereign_name,eez_sovereign2_name,eez_sovereign3_name,is_EU,is_foreign,subs_per_fishing_KWh
2018,412205042,CHN,trawlers,27.804927288322222,221.98386297535558,373.88115462729996,LIAO PU YU15041,15041,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,6.9683333333333355,2605.3285124945696,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412205527,CHN,trawlers,26.666114672609087,202.24466941059092,350.6133622552364,LIAODAGANYU 15190,15190,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,14.694722222222222,5152.165965740072,3,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412205672,CHN,trawlers,31.187476598533326,197.46621768888892,362.2227663142444,LIAODAGANYU25036,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,4.470972222222223,1619.487926447478,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412205712,CHN,trawlers,38.46179888466665,498.28306758559995,508.9627106024334,LIAODAGANYU15058,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,24.191805555555558,12312.726929922559,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412206029,CHN,trawlers,23.9479068136,68.75443278335,269.92306167735,LIAOZHUANGYU65021,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,126.21861111111112,34069.31395177391,11,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412206073,CHN,set_gillnets,26.188319745533324,59.05285513321666,241.75335456081666,LIAOZHUANGYU65120,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,13.929722222222225,3367.5570753225766,3,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412206182,CHN,purse_seines,23.65061142545001,102.85029297649996,239.55888539662502,LIAOZHUANGYU35032,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,6.789027777777778,1626.3719273711704,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412206417,CHN,trawlers,25.2523480401,107.97601158399998,312.4704652812749,LIAOZHUANGYU65308,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,4.642083333333335,1450.5139390411186,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412206929,CHN,trawlers,25.96523938437142,297.82081332264283,356.5999009350286,LIAODAJINYU85057,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,6.717222222222222,2395.360779003017,1,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412206971,CHN,trawlers,27.912146869437496,222.66968765093748,319.179053603175,LIAO DA JIN YU 85086,Q8,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,27.794444444444444,8871.404473203804,4,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412206987,CHN,drifting_longlines,23.846285742800003,147.8377117652,366.2152255419999,LIAODAKAIYU25008,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,14.108055555555554,5166.584747236842,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
