eez_ter_iso3,eez_ter_name,region,fao_country_profile,fisheries_subsidies,fisheries_subsidies_names,fishing_access_agreements,fishing_access_agreement_names
GRD,Grenada,Latin America & Caribbean,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GRD&subj=6,http://www.seaaroundus.org/data/#/subsidy/82,,http://www.seaaroundus.org/data/#/eez/308/internal-fishing-access/,
GLP,Guadeloupe,Latin America & Caribbean,http://www.fao.org/countryprofiles/index/en/?iso3=FRA,http://www.seaaroundus.org/data/#/subsidy/83,,http://www.seaaroundus.org/data/#/eez/312/internal-fishing-access/,
GUM,Guam,East Asia & Pacific,http://www.fao.org/countryprofiles/index/en/?iso3=USA,http://www.seaaroundus.org/data/#/subsidy/84,,http://www.seaaroundus.org/data/#/eez/316/internal-fishing-access/,
GTM,Guatemala,Latin America & Caribbean,http://www.fao.org/countryprofiles/index/en/?iso3=GTM,http://www.seaaroundus.org/data/#/subsidy/85,,http://www.seaaroundus.org/data/#/eez/935/internal-fishing-access; http://www.seaaroundus.org/data/#/eez/936/internal-fishing-access/,Caribbean; Pacific
GGY,Guernsey,Europe & Central Asia,http://www.fao.org/countryprofiles/index/en/?iso3=GBR,http://www.seaaroundus.org/data/#/subsidy/35,,http://www.seaaroundus.org/data/#/eez/830/internal-fishing-access/,
GIN,Guinea,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GIN&subj=6,http://www.seaaroundus.org/data/#/subsidy/86,,http://www.seaaroundus.org/data/#/eez/324/internal-fishing-access/,
GNB,Guinea-Bissau,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GNB&subj=6,http://www.seaaroundus.org/data/#/subsidy/87,,http://www.seaaroundus.org/data/#/eez/624/internal-fishing-access/,
GUY,Guyana,Latin America & Caribbean,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GUY&subj=6,http://www.seaaroundus.org/data/#/subsidy/88,,http://www.seaaroundus.org/data/#/eez/328/internal-fishing-access/,
HMD,Heard & McDonald Islands,East Asia & Pacific,http://www.fao.org/countryprofiles/index/en/?iso3=AUS,http://www.seaaroundus.org/data/#/subsidy/91,,http://www.seaaroundus.org/data/#/eez/334/internal-fishing-access/,
HND,Honduras,Latin America & Caribbean,http://www.fao.org/countryprofiles/index/en/?iso3=HND,http://www.seaaroundus.org/data/#/subsidy/93,,http://www.seaaroundus.org/data/#/eez/921/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/920/internal-fishing-access/,Caribbean; Pacific
ISL,Iceland,Europe & Central Asia,http://www.fao.org/countryprofiles/index/en/?iso3=ISL,http://www.seaaroundus.org/data/#/subsidy/95,,http://www.seaaroundus.org/data/#/eez/352/internal-fishing-access/,
IND,India,South Asia,http://www.fao.org/countryprofiles/index/en/?iso3=IND,http://www.seaaroundus.org/data/#/subsidy/96,,http://www.seaaroundus.org/data/#/eez/356/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/357/internal-fishing-access,Mainland; Andaman & Nicobar Isl.
IDN,Indonesia,East Asia & Pacific,http://www.fao.org/countryprofiles/index/en/?iso3=IDN,http://www.seaaroundus.org/data/#/subsidy/97,,http://www.seaaroundus.org/data/#/eez/937/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/361/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/938/internal-fishing-access/,Central; Eastern; Indian Ocean
IRN,Iran,Middle East & North Africa,http://www.fao.org/countryprofiles/index/en/?iso3=IRN,http://www.seaaroundus.org/data/#/subsidy/98,,http://www.seaaroundus.org/data/#/eez/922/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/923/internal-fishing-access/,Persian Gulf; Sea of Oman
IRL,Ireland,Europe & Central Asia,http://www.fao.org/countryprofiles/index/en/?iso3=IRL,http://www.seaaroundus.org/data/#/subsidy/100,,http://www.seaaroundus.org/data/#/eez/372/internal-fishing-access/,
ISR,Israel,Middle East & North Africa,http://www.fao.org/countryprofiles/index/en/?iso3=ISR,http://www.seaaroundus.org/data/#/subsidy/102,,http://www.seaaroundus.org/data/#/eez/940/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/939/internal-fishing-access/,Red Sea; Mediterranean
ITA,Italy,Europe & Central Asia,http://www.fao.org/countryprofiles/index/en/?iso3=ITA,http://www.seaaroundus.org/data/#/subsidy/103; http://www.seaaroundus.org/data/#/subsidy/236; http://www.seaaroundus.org/data/#/subsidy/237,Mainland; Sicily; Sardinia,http://www.seaaroundus.org/data/#/eez/380/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/901/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/902/internal-fishing-access/,Mainland; Sicily; Sardinia
JPN,Japan,East Asia & Pacific,http://www.fao.org/countryprofiles/index/en/?iso3=JPN,http://www.seaaroundus.org/data/#/subsidy/106,,http://www.seaaroundus.org/data/#/eez/390/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/393/internal-fishing-access; http://www.seaaroundus.org/data/#/eez/971/internal-fishing-access/,Main Isl.; Daito Isl.; Ogasawara Isl.
JEY,Jersey,Europe & Central Asia,http://www.fao.org/countryprofiles/index/en/?iso3=GBR,http://www.seaaroundus.org/data/#/subsidy/35,,http://www.seaaroundus.org/data/#/eez/830/internal-fishing-access/,
KEN,Kenya,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=KEN&subj=6,http://www.seaaroundus.org/data/#/subsidy/111,,http://www.seaaroundus.org/data/#/eez/404/internal-fishing-access/,
KIR,Kiribati,East Asia & Pacific,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=KIR&subj=6,http://www.seaaroundus.org/data/#/subsidy/114,,http://www.seaaroundus.org/data/#/eez/942/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/941/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/943/internal-fishing-access/,Line Isl.; Gilbert Isl.; Phoenix Isl.
KWT,Kuwait,Middle East & North Africa,http://www.fao.org/countryprofiles/index/en/?iso3=KWT,http://www.seaaroundus.org/data/#/subsidy/117,,http://www.seaaroundus.org/data/#/eez/414/internal-fishing-access/,
LBN,Lebanon,Middle East & North Africa,http://www.fao.org/countryprofiles/index/en/?iso3=LBN,http://www.seaaroundus.org/data/#/subsidy/119,,http://www.seaaroundus.org/data/#/eez/422/internal-fishing-access/,
LBR,Liberia,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=LBR&subj=6,http://www.seaaroundus.org/data/#/subsidy/120,,http://www.seaaroundus.org/data/#/eez/430/internal-fishing-access/,
LBY,Libya,Middle East & North Africa,http://www.fao.org/countryprofiles/index/en/?iso3=LBY,http://www.seaaroundus.org/data/#/subsidy/121,,http://www.seaaroundus.org/data/#/eez/434/internal-fishing-access/,
LTU,Lithuania,Europe & Central Asia,http://www.fao.org/countryprofiles/index/en/?iso3=LTU,http://www.seaaroundus.org/data/#/subsidy/122,,http://www.seaaroundus.org/data/#/eez/440/internal-fishing-access/,
MDG,Madagascar,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=MDG&subj=6,http://www.seaaroundus.org/data/#/subsidy/125,,http://www.seaaroundus.org/data/#/eez/450/internal-fishing-access/,
