mrgid,pol_type,geoname,iso_sov,iso_ter,name_ter,name_sov,region
49001,Overlapping claim,Overlapping claim Alhucemas Islands: Spain / Morocco,MAR,MAR,Morocco,Morocco,Middle East & North Africa
48998,Overlapping claim,Overlapping claim Perejil Island: Spain / Morocco,MAR,MAR,Morocco,Morocco,Middle East & North Africa
49002,Overlapping claim,Overlapping claim Ceuta: Spain / Morocco,MAR,MAR,Morocco,Morocco,Middle East & North Africa
48999,Overlapping claim,Overlapping claim Peñón de Vélez de la Gomera: Spain / Morocco,MAR,MAR,Morocco,Morocco,Middle East & North Africa
48997,Overlapping claim,Overlapping claim Chafarinas Islands: Spain / Morocco,MAR,MAR,Morocco,Morocco,Middle East & North Africa
8354,200NM,Omani Exclusive Economic Zone,OMN,OMN,Oman,Oman,Middle East & North Africa
48953,200NM,Palestinian Exclusive Economic Zone,PSE,PSE,Palestinian Territories,Palestinian Territories,Middle East & North Africa
8468,200NM,Qatari Exclusive Economic Zone,QAT,QAT,Qatar,Qatar,Middle East & North Africa
50170,Overlapping claim,Overlapping claim Qatar / Saudi Arabia / United Arab Emirates,QAT,QAT,Qatar,Qatar,Middle East & North Africa
8356,200NM,Saudi Arabian Exclusive Economic Zone,SAU,SAU,Saudi Arabia,Saudi Arabia,Middle East & North Africa
50170,Overlapping claim,Overlapping claim Qatar / Saudi Arabia / United Arab Emirates,SAU,SAU,Saudi Arabia,Saudi Arabia,Middle East & North Africa
8373,200NM,Syrian Exclusive Economic Zone,SYR,SYR,Syria,Syria,Middle East & North Africa
8366,200NM,Tunisian Exclusive Economic Zone,TUN,TUN,Tunisia,Tunisia,Middle East & North Africa
8360,200NM,United Arab Emirates Exclusive Economic Zone,ARE,ARE,United Arab Emirates,United Arab Emirates,Middle East & North Africa
48947,Overlapping claim,Overlapping claim: Iran / United Arab Emirates,ARE,ARE,United Arab Emirates,United Arab Emirates,Middle East & North Africa
50170,Overlapping claim,Overlapping claim Qatar / Saudi Arabia / United Arab Emirates,ARE,ARE,United Arab Emirates,United Arab Emirates,Middle East & North Africa
8368,Overlapping claim,Overlapping claim Western Saharan Exclusive Economic Zone,ESH,ESH,Western Sahara,Western Sahara,Middle East & North Africa
8368,Overlapping claim,Overlapping claim Western Saharan Exclusive Economic Zone,MAR,ESH,Western Sahara,Morocco,Middle East & North Africa
8353,200NM,Yemeni Exclusive Economic Zone,YEM,YEM,Yemen,Yemen,Middle East & North Africa
8489,200NM,Antarctic 200NM zone beyond the coastline,ATA,ATA,Antarctica,Antarctica,"NA"
8402,200NM,Bermudian Exclusive Economic Zone,GBR,BMU,Bermuda,United Kingdom,North America
48943,Overlapping claim,Overlapping claim: Canada / USA,CAN,CAN,Canada,Canada,North America
8493,200NM,Canadian Exclusive Economic Zone,CAN,CAN,Canada,Canada,North America
8494,200NM,Saint-Pierre and Miquelon Exclusive Economic Zone,FRA,SPM,St. Pierre & Miquelon,France,North America
48951,Overlapping claim,Overlapping claim Navassa Island: USA / Haiti / Jamaica,USA,USA,United States,United States,North America
48943,Overlapping claim,Overlapping claim: Canada / USA,USA,USA,United States,United States,North America
48978,Joint regime,Joint regime area United States / Russia,USA,USA,United States,United States,North America
8453,200NM,United States Exclusive Economic Zone (Hawaii),USA,USA,United States,United States,North America
8463,200NM,United States Exclusive Economic Zone (Alaska),USA,USA,United States,United States,North America
8456,200NM,United States Exclusive Economic Zone,USA,USA,United States,United States,North America
8481,200NM,Bangladeshi Exclusive Economic Zone,BGD,BGD,Bangladesh,Bangladesh,South Asia
8333,200NM,Indian Exclusive Economic Zone (Andaman and Nicobar Islands),IND,IND,India,India,South Asia
8480,200NM,Indian Exclusive Economic Zone,IND,IND,India,India,South Asia
8345,200NM,Maldives Exclusive Economic Zone,MDV,MDV,Maldives,Maldives,South Asia
8359,200NM,Pakistani Exclusive Economic Zone,PAK,PAK,Pakistan,Pakistan,South Asia
8346,200NM,Sri Lankan Exclusive Economic Zone,LKA,LKA,Sri Lanka,Sri Lanka,South Asia
8478,200NM,Angolan Exclusive Economic Zone,AGO,AGO,Angola,Angola,Sub-Saharan Africa
8393,200NM,Beninese Exclusive Economic Zone,BEN,BEN,Benin,Benin,Sub-Saharan Africa
8475,200NM,Cameroonian Exclusive Economic Zone,CMR,CMR,Cameroon,Cameroon,Sub-Saharan Africa
8362,200NM,Cape Verdean Exclusive Economic Zone,CPV,CPV,Cape Verde,Cape Verde,Sub-Saharan Africa
8334,200NM,Comoran Exclusive Economic Zone,COM,COM,Comoros,Comoros,Sub-Saharan Africa
8394,200NM,Congolese Exclusive Economic Zone,COG,COG,Congo - Brazzaville,Congo - Brazzaville,Sub-Saharan Africa
8477,200NM,Democratic Republic of the Congo Exclusive Economic Zone,COD,COD,Congo - Kinshasa,Congo - Kinshasa,Sub-Saharan Africa
8473,200NM,Ivory Coast Exclusive Economic Zone,CIV,CIV,Côte d’Ivoire,Côte d’Ivoire,Sub-Saharan Africa
8398,200NM,Equatorial Guinean Exclusive Economic Zone,GNQ,GNQ,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa
48956,Overlapping claim,Overlapping claim Doumeira Islands: Djibouti / Eritrea,ERI,ERI,Eritrea,Eritrea,Sub-Saharan Africa
8351,200NM,Eritrean Exclusive Economic Zone,ERI,ERI,Eritrea,Eritrea,Sub-Saharan Africa
8386,200NM,Amsterdam Island & St. Paul Island Exclusive Economic Zone,FRA,ATF,French Southern Territories,France,Sub-Saharan Africa
8385,200NM,Crozet Islands Exclusive Economic Zone,FRA,ATF,French Southern Territories,France,Sub-Saharan Africa
8387,200NM,Kerguelen Exclusive Economic Zone,FRA,ATF,French Southern Territories,France,Sub-Saharan Africa
48945,Overlapping claim,Overlapping claim Glorioso Islands: France / Madagascar,FRA,ATF,French Southern Territories,France,Sub-Saharan Africa
8341,200NM,Ile Europa Exclusive Economic Zone,FRA,ATF,French Southern Territories,France,Sub-Saharan Africa
8339,200NM,Juan de Nova Exclusive Economic Zone,FRA,ATF,French Southern Territories,France,Sub-Saharan Africa
8340,200NM,Bassas da India Exclusive Economic Zone,FRA,ATF,French Southern Territories,France,Sub-Saharan Africa
8476,200NM,Gabonese Exclusive Economic Zone,GAB,GAB,Gabon,Gabon,Sub-Saharan Africa
8370,200NM,Gambian Exclusive Economic Zone,GMB,GMB,Gambia,Gambia,Sub-Saharan Africa
8400,200NM,Ghanaian Exclusive Economic Zone,GHA,GHA,Ghana,Ghana,Sub-Saharan Africa
8472,200NM,Guinean Exclusive Economic Zone,GIN,GIN,Guinea,Guinea,Sub-Saharan Africa
48964,Joint regime,Joint regime area Senegal / Guinea Bissau,GNB,GNB,Guinea-Bissau,Guinea-Bissau,Sub-Saharan Africa
8471,200NM,Guinea Bissau Exclusive Economic Zone,GNB,GNB,Guinea-Bissau,Guinea-Bissau,Sub-Saharan Africa
8349,200NM,Kenyan Exclusive Economic Zone,KEN,KEN,Kenya,Kenya,Sub-Saharan Africa
33176,Overlapping claim,Overlapping claim: Kenya / Somalia,KEN,KEN,Kenya,Kenya,Sub-Saharan Africa
8391,200NM,Liberian Exclusive Economic Zone,LBR,LBR,Liberia,Liberia,Sub-Saharan Africa
48946,Overlapping claim,Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus,MDG,MDG,Madagascar,Madagascar,Sub-Saharan Africa
8348,200NM,Madagascan Exclusive Economic Zone,MDG,MDG,Madagascar,Madagascar,Sub-Saharan Africa
48945,Overlapping claim,Overlapping claim Glorioso Islands: France / Madagascar,MDG,MDG,Madagascar,Madagascar,Sub-Saharan Africa
8369,200NM,Mauritanian Exclusive Economic Zone,MRT,MRT,Mauritania,Mauritania,Sub-Saharan Africa
48946,Overlapping claim,Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus,MUS,MUS,Mauritius,Mauritius,Sub-Saharan Africa
8343,200NM,Mauritian Exclusive Economic Zone,MUS,MUS,Mauritius,Mauritius,Sub-Saharan Africa
62589,200 NM,Chagos Archipelago Exclusive Economic Zone,MUS,MUS,Mauritius,Mauritius,Sub-Saharan Africa
48944,Overlapping claim,Overlapping claim Mayotte: France / Comoros,FRA,MYT,Mayotte,France,Sub-Saharan Africa
48944,Overlapping claim,Overlapping claim Mayotte: France / Comoros,COM,MYT,Mayotte,Comoros,Sub-Saharan Africa
8347,200NM,Mozambican Exclusive Economic Zone,MOZ,MOZ,Mozambique,Mozambique,Sub-Saharan Africa
8395,200NM,Namibian Exclusive Economic Zone,NAM,NAM,Namibia,Namibia,Sub-Saharan Africa
8474,200NM,Nigerian Exclusive Economic Zone,NGA,NGA,Nigeria,Nigeria,Sub-Saharan Africa
21797,Joint regime,Joint regime area Nigeria / Sao Tome and Principe,NGA,NGA,Nigeria,Nigeria,Sub-Saharan Africa
8338,200NM,Réunion Exclusive Economic Zone,FRA,REU,Réunion,France,Sub-Saharan Africa
21797,Joint regime,Joint regime area Nigeria / Sao Tome and Principe,STP,STP,São Tomé & Príncipe,São Tomé & Príncipe,Sub-Saharan Africa
8397,200NM,Sao Tome and Principe Exclusive Economic Zone,STP,STP,São Tomé & Príncipe,São Tomé & Príncipe,Sub-Saharan Africa
48964,Joint regime,Joint regime area Senegal / Guinea Bissau,SEN,SEN,Senegal,Senegal,Sub-Saharan Africa
8371,200NM,Senegalese Exclusive Economic Zone,SEN,SEN,Senegal,Senegal,Sub-Saharan Africa
8337,200NM,Seychellois Exclusive Economic Zone,SYC,SYC,Seychelles,Seychelles,Sub-Saharan Africa
8390,200NM,Sierra Leonian Exclusive Economic Zone,SLE,SLE,Sierra Leone,Sierra Leone,Sub-Saharan Africa
33176,Overlapping claim,Overlapping claim: Kenya / Somalia,SOM,SOM,Somalia,Somalia,Sub-Saharan Africa
8350,200NM,Somali Exclusive Economic Zone,SOM,SOM,Somalia,Somalia,Sub-Saharan Africa
8396,200NM,South African Exclusive Economic Zone,ZAF,ZAF,South Africa,South Africa,Sub-Saharan Africa
8384,200NM,South African Exclusive Economic Zone (Prince Edward Islands),ZAF,ZAF,South Africa,South Africa,Sub-Saharan Africa
8379,200NM,Ascension Exclusive Economic Zone,GBR,SHN,St. Helena,United Kingdom,Sub-Saharan Africa
8380,200NM,St. Helena Exclusive Economic Zone,GBR,SHN,St. Helena,United Kingdom,Sub-Saharan Africa
8382,200NM,Tristan Da Cunha Exclusive Economic Zone,GBR,SHN,St. Helena,United Kingdom,Sub-Saharan Africa
8355,200NM,Sudanese Exclusive Economic Zone,SDN,SDN,Sudan,Sudan,Sub-Saharan Africa
26582,Overlapping claim,Overlapping claim: Sudan / Egypt,SDN,SDN,Sudan,Sudan,Sub-Saharan Africa
8479,200NM,Tanzanian Exclusive Economic Zone,TZA,TZA,Tanzania,Tanzania,Sub-Saharan Africa
8392,200NM,Togolese Exclusive Economic Zone,TGO,TGO,Togo,Togo,Sub-Saharan Africa
