mrgid,geoname,mrgid_ter1,pol_type,mrgid_sov1,territory1,iso_ter1,sovereign1,mrgid_ter2,mrgid_sov2,territory2,iso_ter2,sovereign2,mrgid_ter3,mrgid_sov3,territory3,iso_ter3,sovereign3,x_1,y_1,mrgid_eez,area_km2,iso_sov1,iso_sov2,iso_sov3,un_sov1,un_sov2,un_sov3,un_ter1,un_ter2,un_ter3
8423,Panamanian Exclusive Economic Zone,2249,200NM,2249,Panama,PAN,Panama,0,0,NA,NA,NA,0,0,NA,NA,NA,-80.34583,8.2888,8423,331318,PAN,NA,NA,591,NA,NA,591,NA,NA
8424,Costa Rican Exclusive Economic Zone,2162,200NM,2162,Costa Rica,CRI,Costa Rica,0,0,NA,NA,NA,0,0,NA,NA,NA,-86.50737,6.73691,8424,581726,CRI,NA,NA,188,NA,NA,188,NA,NA
26517,Curaçaoan Exclusive Economic Zone,19143,200NM,15,Curaçao,CUW,Netherlands,0,0,NA,NA,NA,0,0,NA,NA,NA,-68.97176,13.16246,26517,25401,NLD,NA,NA,528,NA,NA,531,NA,NA
8417,Dominican Exclusive Economic Zone,8648,200NM,8648,Dominica,DMA,Dominica,0,0,NA,NA,NA,0,0,NA,NA,NA,-60.72114,15.49739,8417,28552,DMA,NA,NA,212,NA,NA,212,NA,NA
8409,Dominican Republic Exclusive Economic Zone,8640,200NM,8640,Dominican Republic,DOM,Dominican Republic,0,0,NA,NA,NA,0,0,NA,NA,NA,-69.67224,19.13826,8409,350694,DOM,NA,NA,214,NA,NA,214,NA,NA
8430,Guatemalan Exclusive Economic Zone,2097,200NM,2097,Guatemala,GTM,Guatemala,0,0,NA,NA,NA,0,0,NA,NA,NA,-92.0908,12.55243,8430,110695,GTM,NA,NA,320,NA,NA,320,NA,NA
8435,Faeroe Exclusive Economic Zone,3297,200NM,2157,Faeroe,FRO,Denmark,0,0,NA,NA,NA,0,0,NA,NA,NA,-6.9969,62.5946,8435,265632,DNK,NA,NA,208,NA,NA,234,NA,NA
8370,Gambian Exclusive Economic Zone,2113,200NM,2113,Gambia,GMB,Gambia,0,0,NA,NA,NA,0,0,NA,NA,NA,-18.38751,13.32867,8370,23097,GMB,NA,NA,270,NA,NA,270,NA,NA
8365,Overlapping claim Gibraltarian Exclusive Economic Zone,3344,Overlapping claim,2208,Gibraltar,GIB,United Kingdom,2185,2185,Spain,ESP,Spain,0,0,NA,NA,NA,-5.21961,36.08832,8365,388,GIB,ESP,NA,826,724,NA,292,724,NA
8419,Grenadian Exclusive Economic Zone,8650,200NM,8650,Grenada,GRD,Grenada,0,0,NA,NA,NA,0,0,NA,NA,NA,-62.05881,12.24388,8419,25571,GRD,NA,NA,308,NA,NA,308,NA,NA
33177,Guadeloupean Exclusive Economic Zone,8654,200NM,17,Guadeloupe,GLP,France,0,0,NA,NA,NA,0,0,NA,NA,NA,-59.85044,16.7988,33177,90705,FRA,NA,NA,250,NA,NA,312,NA,NA
8390,Sierra Leonian Exclusive Economic Zone,2191,200NM,2191,Sierra Leone,SLE,Sierra Leone,0,0,NA,NA,NA,0,0,NA,NA,NA,-14.14468,6.63541,8390,160584,SLE,NA,NA,694,NA,NA,694,NA,NA
5680,Icelandic Exclusive Economic Zone,2129,200NM,2129,Iceland,ISL,Iceland,0,0,NA,NA,NA,0,0,NA,NA,NA,-18.44845,64.69826,5680,763239,ISL,NA,NA,352,NA,NA,352,NA,NA
8459,Jamaican Exclusive Economic Zone,8682,200NM,8682,Jamaica,JAM,Jamaica,0,0,NA,NA,NA,0,0,NA,NA,NA,-77.29089,16.66861,8459,256909,JAM,NA,NA,388,NA,NA,388,NA,NA
8363,Portuguese Exclusive Economic Zone (Madeira),4956,200NM,2243,Madeira,NA,Portugal,0,0,NA,NA,NA,0,0,NA,NA,NA,-16.81091,33.17302,8363,452796,PRT,NA,NA,620,NA,NA,NA,NA,NA
8369,Mauritanian Exclusive Economic Zone,2236,200NM,2236,Mauritania,MRT,Mauritania,0,0,NA,NA,NA,0,0,NA,NA,NA,-17.91755,18.24852,8369,173180,MRT,NA,NA,478,NA,NA,478,NA,NA
8415,Montserrat Exclusive Economic Zone,8646,200NM,2208,Montserrat,MSR,United Kingdom,0,0,NA,NA,NA,0,0,NA,NA,NA,-62.48384,16.41292,8415,7188,GBR,NA,NA,826,NA,NA,500,NA,NA
48951,Overlapping claim Navassa Island: USA / Haiti / Jamaica,20312,Overlapping claim,8639,Navassa Island,NA,Haiti,20312,2204,Navassa Island,NA,United States,20312,8682,Navassa Island,NA,Jamaica,-75.18373,18.33814,48951,13890,HTI,USA,JAM,332,840,388,NA,NA,NA
8443,Palmyra Atoll Exclusive Economic Zone,8669,200NM,2204,Palmyra Atoll,UMI,United States,0,0,NA,NA,NA,0,0,NA,NA,NA,-162.89881,6.68794,8443,353670,USA,NA,NA,840,NA,NA,581,NA,NA
33179,Puerto Rican Exclusive Economic Zone,8641,200NM,2204,Puerto Rico,PRI,United States,0,0,NA,NA,NA,0,0,NA,NA,NA,-66.78687,17.79821,33179,154661,USA,NA,NA,840,NA,NA,630,NA,NA
26518,Saba Exclusive Economic Zone,19095,200NM,15,Saba,BES,Netherlands,0,0,NA,NA,NA,0,0,NA,NA,NA,-63.60185,17.37739,26518,9487,NLD,NA,NA,528,NA,NA,535,NA,NA
48952,Saint-Barthélemy Exclusive Economic Zone,19099,200NM,17,Saint-Barthélemy,BLM,France,0,0,NA,NA,NA,0,0,NA,NA,NA,-62.6274,17.9327,48952,4179,FRA,NA,NA,250,NA,NA,652,NA,NA
26526,Sint-Eustatius Exclusive Economic Zone,26525,200NM,15,Sint-Eustatius,BES,Netherlands,0,0,NA,NA,NA,0,0,NA,NA,NA,-63.12987,17.3389,26526,2176,NLD,NA,NA,528,NA,NA,535,NA,NA
8413,Saint Kitts and Nevis Exclusive Economic Zone,8644,200NM,8644,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,0,0,NA,NA,NA,0,0,NA,NA,NA,-62.90578,16.99022,8413,9502,KNA,NA,NA,659,NA,NA,659,NA,NA
8416,Saint Lucia Exclusive Economic Zone,8647,200NM,8647,Saint Lucia,LCA,Saint Lucia,0,0,NA,NA,NA,0,0,NA,NA,NA,-61.10359,13.8777,8416,15413,LCA,NA,NA,662,NA,NA,662,NA,NA
8495,Saint-Martin Exclusive Economic Zone,8688,200NM,17,Collectivity of Saint Martin,MAF,France,0,0,NA,NA,NA,0,0,NA,NA,NA,-63.20282,18.03469,8495,1100,FRA,NA,NA,250,NA,NA,663,NA,NA
8494,Saint-Pierre and Miquelon Exclusive Economic Zone,8686,200NM,17,Saint-Pierre and Miquelon,SPM,France,0,0,NA,NA,NA,0,0,NA,NA,NA,-56.38701,45.85719,8494,12414,FRA,NA,NA,250,NA,NA,666,NA,NA
8421,Saint Vincent and the Grenadines Exclusive Economic Zone,8651,200NM,8651,Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,0,0,NA,NA,NA,0,0,NA,NA,NA,-61.69442,13.15805,8421,36244,VCT,NA,NA,670,NA,NA,670,NA,NA
21803,Sint-Maarten Exclusive Economic Zone,21802,200NM,15,Sint-Maarten,SXM,Netherlands,0,0,NA,NA,NA,0,0,NA,NA,NA,-63.12285,17.93813,21803,466,NLD,NA,NA,528,NA,NA,534,NA,NA
8420,Trinidad and Tobago Exclusive Economic Zone,2186,200NM,2186,Trinidad and Tobago,TTO,Trinidad and Tobago,0,0,NA,NA,NA,0,0,NA,NA,NA,-59.98478,10.95788,8420,76562,TTO,NA,NA,780,NA,NA,780,NA,NA
8405,Turks and Caicos Exclusive Economic Zone,2211,200NM,2208,Turks and Caicos Islands,TCA,United Kingdom,0,0,NA,NA,NA,0,0,NA,NA,NA,-70.85361,22.80987,8405,91025,GBR,NA,NA,826,NA,NA,796,NA,NA
33180,Virgin Islander Exclusive Economic Zone,8642,200NM,2204,United States Virgin Islands,VIR,United States,0,0,NA,NA,NA,0,0,NA,NA,NA,-64.92435,17.25496,33180,38275,USA,NA,NA,840,NA,NA,850,NA,NA
5688,Portuguese Exclusive Economic Zone,2243,200NM,2243,Portugal,PRT,Portugal,0,0,NA,NA,NA,0,0,NA,NA,NA,-10.92284,38.31921,5688,315501,PRT,NA,NA,620,NA,NA,620,NA,NA
8428,El Salvador Exclusive Economic Zone,2135,200NM,2135,El Salvador,SLV,El Salvador,0,0,NA,NA,NA,0,0,NA,NA,NA,-89.74411,11.84859,8428,95099,SLV,NA,NA,222,NA,NA,222,NA,NA
8457,Belizean Exclusive Economic Zone,8681,200NM,8681,Belize,BLZ,Belize,0,0,NA,NA,NA,0,0,NA,NA,NA,-87.5932,17.18774,8457,34312,BLZ,NA,NA,84,NA,NA,84,NA,NA
8406,Cuban Exclusive Economic Zone,8637,200NM,8637,Cuba,CUB,Cuba,0,0,NA,NA,NA,0,0,NA,NA,NA,-81.5305,21.60004,8406,352259,CUB,NA,NA,192,NA,NA,192,NA,NA
8408,Haitian Exclusive Economic Zone,8639,200NM,8639,Haiti,HTI,Haiti,0,0,NA,NA,NA,0,0,NA,NA,NA,-73.54856,17.91219,8408,103485,HTI,NA,NA,332,NA,NA,332,NA,NA
33178,Martinican Exclusive Economic Zone,8655,200NM,17,Martinique,MTQ,France,0,0,NA,NA,NA,0,0,NA,NA,NA,-60.20055,14.97512,33178,47787,FRA,NA,NA,250,NA,NA,474,NA,NA
